mprop_address_raw,mprop_address,standardized
"100 AMY LYNN CT, METAMORA, MI 48455","100 AMY LYNN DR, METAMORA, MI 48455",TRUE
"100 CONCOURSE PK 275, BIRMINGHAM, AL 35244","100 CONCOURSE PKWY, STE 275, HOOVER, AL 35244",TRUE
"100 DIANE LA, MT PLEASANT, TX 75455","100 DIANE LN, MOUNT PLEASANT, TX 75455",TRUE
"100 E CHEROKEE CR, FOX POINT, WI 53217","100 E CHEROKEE CIR, MILWAUKEE, WI 53217",TRUE
"100 E WISCONSIN AV 1630, MILWAUKEE, WI 53202","100 E WISCONSIN AVE, STE 1630, MILWAUKEE, WI 53202",TRUE
"100 E WISCONSIN AV SUITE 1020, MILWAUKEE, WI 53202","100 E WISCONSIN AVE, STE 1020, MILWAUKEE, WI 53202",TRUE
"100 HOPETREE LA, HOLLY SPRINGS, NC 27540","100 HOPETREE LN, HOLLY SPRINGS, NC 27540",TRUE
"100 OAK POINT PL, BUTLER, TN 37640","100 OAK POINT PL, BUTLER, TN 37640",TRUE
"100 W 92ND ST APT 21C, NEW YORK, NY 10025","100 W 92ND ST, APT 21C, NEW YORK, NY 10025",TRUE
"100 W BERGEN DR, FOXPOINT, WI 53217","100 W BERGEN DR, MILWAUKEE, WI 53217",TRUE
"100 W INDIAN CREEK CT, FOX POINT, WI 53217","100 W INDIAN CREEK CT, MILWAUKEE, WI 53217",TRUE
"100 W PORTLAND ST UNIT 401, PHOENIX, AZ 85003","100 W PORTLAND ST, UNIT 401, PHOENIX, AZ 85003",TRUE
"100-1006 WEST NORTH AV, MILWAUKEE, WI 53205","1006 W NORTH AVE, MILWAUKEE, WI 53205",TRUE
"1000 E HENRY CLAY ST, WHITEFISH BAY, WI 53217","1000 E HENRY CLAY ST, MILWAUKEE, WI 53217",TRUE
"1000 E STONEWOOD DR, OAK CREEEK, WI 53154","1000 E STONEWOOD DR, OAK CREEK, WI 53154",TRUE
"1000 FAIRWAY DR, RACINE, WI 53405","1000 FAIRWAY DR, RACINE, WI 53405",TRUE
"1000 N WATER ST 2100, MILWAUKEE, WI 53202","1000 N WATER ST 2100, MILWAUKEE, WI 53202",TRUE
"1000 N WATER ST SUITE 1700, MILWAUKEE, WI 53202","1000 N WATER ST, STE 1700, MILWAUKEE, WI 53202",TRUE
"1000 N WATER ST, MILWAUKEE, WI 53202","1000 N WATER ST, MILWAUKEE, WI 53202",TRUE
"1000 S 28TH ST, MILWAUKEE, WI 53215","1000 S 28TH ST, MILWAUKEE, WI 53215",TRUE
"1000 TECHNOLOGY DR SUITE 420, O FALLON, MO 63368","1000 TECHNOLOGY DR, STE 420, O FALLON, MO 63368",TRUE
"1000 W RIVERVIEW DR, GLENDALE, WI 53209","1000 W RIVERVIEW DR, MILWAUKEE, WI 53209",TRUE
"1000 WINDSOR SHORES DR APT 2, COLUMBIA, SC 29223","1000 WINDSOR SHORES DR, APT 2A, COLUMBIA, SC 29223",TRUE
"10000 S CHELSEA LEE RD, OAK CREEK, WI 53154","10000 S CHELSEA LEE RD, OAK CREEK, WI 53154",TRUE
"10005 W BEECHWOOD DR, MILWAUKEE, WI 53224","10005 W BEECHWOOD AVE, MILWAUKEE, WI 53224",TRUE
"10006 W CALUMET RD, MILWAUKEE, WI 53224","10006 W CALUMET RD, MILWAUKEE, WI 53224",TRUE
"1001 ARBORETUM DR SUITE 3, WAUNAKEE, WI 53597","1001 ARBORETUM DR, STE 3, WAUNAKEE, WI 53597",TRUE
"1001 E HOLT AV, MILWAUKEE, WI 53207","1001 E HOLT AVE, MILWAUKEE, WI 53207",TRUE
"1001 E HOWARD AV, MILWAUKEE, WI 53207","1001 E HOWARD AVE, MILWAUKEE, WI 53207",TRUE
"1001 E LOCUST ST, MILWAUKEE, WI 53212","1001 E LOCUST ST, MILWAUKEE, WI 53212",TRUE
"1001 OAKWOOD DR, EULESS, TX 76040","1001 OAKWOOD DR, EULESS, TX 76040",TRUE
"1001 S 3RD ST, MILWAUKEE, WI 53204","1001 S 3RD ST, MILWAUKEE, WI 53204",TRUE
"1001 TWELVE OAKS CTR DR1028, WAYZATA, MN 55391","1001 TWELVE OAKS CENTER DR, STE 1028, WAYZATA, MN 55391",TRUE
"1001 W ALTGELD ST APT 3, CHICAGO, IL 60614","1001 W ALTGELD ST, APT 3, CHICAGO, IL 60614",TRUE
"1001 W GLEN OAKS LA 238, MEQUON, WI 53092","1001 W GLEN OAKS LN, STE 238, MEQUON, WI 53092",TRUE
"1001 W GLEN OAKS LA SUITE 240, MEQUON, WI 53092","1001 W GLEN OAKS LN, STE 240, MEQUON, WI 53092",TRUE
"1001 W MADISON ST, MILWAUKEE, WI 53204","1001 W MADISON ST, MILWAUKEE, WI 53204",TRUE
"10011 N WAUWATOSA RD, MEQUON, WI 53092","10011 WAUWATOSA RD, MEQUON, WI 53097",TRUE
"10011 N WAUWATOSA RD, MEQUON, WI 53097","10011 WAUWATOSA RD, MEQUON, WI 53097",TRUE
"10011 W WAUWATOSA RD, MEQUON, WI 53092","10011 WAUWATOSA RD, MEQUON, WI 53097",TRUE
"10011 WAUWATOSA RD, MEQUON, WI 53092","10011 WAUWATOSA RD, MEQUON, WI 53097",TRUE
"10014 W RIDGE RD, HALES CORNERS, WI 53130","10014 W RIDGE RD, HALES CORNERS, WI 53130",TRUE
"10015 W MAGNOLIA ST, MILWAUKEE, WI 53224","10015 W MAGNOLIA ST, MILWAUKEE, WI 53224",TRUE
"10015 W MANGOLIA ST, MILWAUKEE, WI 53224","10015 W MANGOLIA ST, MILWAUKEE, WI 53224",FALSE
"1002 BIRCH HAVEN CR, MONONA, WI 53716","1002 BIRCH HAVEN CIR, MONONA, WI 53716",TRUE
"1002 OCEAN WALK CT, FERNANDINA BEACH, FL 32034","1002 OCEANWALK CT, FERNANDINA BEACH, FL 32034",TRUE
"1002 PLAT RD, HUBERTUS, WI 53033","1002 PLAT RD, HUBERTUS, WI 53033",TRUE
"1002 RIVER TR DR, JOHNSBURG, IL 60051","1002 RIVER TR DR, JOHNSBURG, IL 60051",FALSE
"1002 S 21ST ST, MILWAUKEE, WI 53204","1002 S 21ST ST, MILWAUKEE, WI 53204",TRUE
"1002 S 29TH ST, MILWAUKEE, WI 53215","1002 S 29TH ST, MILWAUKEE, WI 53215",TRUE
"1002 W ZEDLER LA, MEQUON, WI 53092","1002 W ZEDLER LN, MEQUON, WI 53092",TRUE
"10023 W HAMPTON AV, MILWAUKEE, WI 53225","10023 W HAMPTON AVE, MILWAUKEE, WI 53225",TRUE
"10026 GRANITE TRAIL LA, CHARLOTTE, NC 28214","10026 GRANITE TRAIL LN, CHARLOTTE, NC 28214",TRUE
"10026 GRANITE TRL LA, CHARLOTTE, NC 28214","10026 GRANITE TRAIL LN, CHARLOTTE, NC 28214",TRUE
"1002A S 26TH ST, MILWAUKEE, WI 53204","1002 S 26TH ST, MILWAUKEE, WI 53204",TRUE
"1003 CYPRESS CT, HARTLAND, WI 53029","1003 CYPRESS CT, HARTLAND, WI 53029",TRUE
"1003 N CYPRESS CT, HARTLAND, WI 53029","1003 N CYPRESS CT, HARTLAND, WI 53029",TRUE
"1003 S 19TH ST, MILWAUKEE, WI 53204","1003 S 19TH ST, MILWAUKEE, WI 53204",TRUE
"1003 S 73RD ST, MILWAUKEE, WI 53214","1003 S 73RD ST, MILWAUKEE, WI 53214",TRUE
"1003 S 74TH ST, WEST ALLIS, WI 53214","1003 S 74TH ST, MILWAUKEE, WI 53214",TRUE
"1003 WOODS DR, HARTLAND, WI 53029","1003 WOODS DR, HARTLAND, WI 53029",TRUE
"10030 W MEINECKE AV, WAUWATOSA, WI 53226","10030 W MEINECKE AVE, MILWAUKEE, WI 53226",TRUE
"10030 W NORTH AV, WAUWATOSA, WI 53226","10030 W NORTH AVE, MILWAUKEE, WI 53226",TRUE
"100318 W FAIRMOUNT AV, MILWAUKEE, WI 53225","100318 W FAIRMOUNT AV, MILWAUKEE, WI 53225",FALSE
"10036 W TERRA AV, MILWAUKEE, WI 53224","10036 W TERRA AVE, MILWAUKEE, WI 53224",TRUE
"1004 E BRADY ST, MILWAUKEE, WI 53202","1004 E BRADY ST, MILWAUKEE, WI 53202",TRUE
"1004 E LYON ST, MILWAUKEE, WI 53202","1004 E LYON ST, MILWAUKEE, WI 53202",TRUE
"1004 W KEEFE ST, MILWAUKEE, WI 53206","1004 W KEEFE AVE, MILWAUKEE, WI 53206",TRUE
"1004 W MADISON ST, MILWAUKEE, WI 53204","1004 W MADISON ST, MILWAUKEE, WI 53204",TRUE
"1004 W NATIONAL AV, MILWAUKEE, WI 53204","1004 W NATIONAL AVE, MILWAUKEE, WI 53204",TRUE
"10040 E HAPPY VALLEY RD, SCOTTSDALE, AZ 85255","10040 E HAPPY VALLEY RD, SCOTTSDALE, AZ 85255",TRUE
"1005 13TH ST SW, SIDNEY, MT 59270","1005 13TH ST SW, SIDNEY, MT 59270",TRUE
"1005 CAREN DR, SYKESVILLE, MD 21784","1005 CAREN DR, SYKESVILLE, MD 21784",TRUE
"1005 E CR DR, WHITEFISH BAY, WI 53217","1005 E CR DR, WHITEFISH BAY, WI 53217",FALSE
"1005 E DAKOTA AV, BAYVIEW, WI 53207","1005 E DAKOTA ST, MILWAUKEE, WI 53207",TRUE
"1005 E DAKOTA ST, MILWAUKEE, WI 53207","1005 E DAKOTA ST, MILWAUKEE, WI 53207",TRUE
"1005 E EUCLID AV, MILWAUKEE, WI 53207","1005 E EUCLID AVE, MILWAUKEE, WI 53207",TRUE
"1005 FAIRVIEW AV, SOUTH MILWAUKEE, WI 53172","1005 FAIRVIEW AVE, SOUTH MILWAUKEE, WI 53172",TRUE
"1005 HYDE PARK DR, MCKINNEY, TX 75069","1005 HYDE PARK DR, MCKINNEY, TX 75069",TRUE
"1005 MASTERS ST, BELOIT, WI 53511","1005 MASTERS ST, BELOIT, WI 53511",TRUE
"1005 TANGLEWOOD DR, BROOKFIELD, WI 53005","1005 TANGLEWOOD DR, BROOKFIELD, WI 53005",TRUE
"1005 VISTA VIEW DR, BROOKFIELD, WI 53005","1005 VISTA VIEW DR, BROOKFIELD, WI 53005",TRUE
"1005 W SHAKER CR, MEQUON, WI 53092","1005 W SHAKER CIR, MEQUON, WI 53092",TRUE
"1005 W WASHINGTON ST, MILWAUKEE, WI 53204","1005 W WASHINGTON ST, MILWAUKEE, WI 53204",TRUE
"10050 CROSSTOWN CR SUITE 6, EDEN PRAIRIE, MN 55344","10050 CROSSTOWN CIR, STE 6, EDEN PRAIRIE, MN 55344",TRUE
"10050 CROSSTOWN CR SUITE 600, EDEN PRAIRIE, MN 55344","10050 CROSSTOWN CIR, STE 600, EDEN PRAIRIE, MN 55344",TRUE
"10050 W BELOIT RD, GREEENFIELD, WI 53228","10050 W BELOIT RD, MILWAUKEE, WI 53228",TRUE
"10050 W BELOIT RD, GREENFIELD, WI 53228","10050 W BELOIT RD, MILWAUKEE, WI 53228",TRUE
"10055 N MEADOW LA, MEQUON, WI 53092","10055 N MEADOW LN, MEQUON, WI 53092",TRUE
"10059 W FIEBRANTZ AV, MILWAUKEE, WI 53222","10059 W FIEBRANTZ AVE, MILWAUKEE, WI 53222",TRUE
"1006 E 7TH ST, NATIONAL CITY, CA 91950","1006 E 7TH ST, NATIONAL CITY, CA 91950",TRUE
"1006 E CHURCHHILL LA, FOX POINT, WI 53217","1006 E CHURCHILL LN, MILWAUKEE, WI 53217",TRUE
"1006 S 89TH ST, WEST ALLIS, WI 53214","1006 S 89TH ST, MILWAUKEE, WI 53214",TRUE
"1006 S BARCLAY ST, MILWAUKEE, WI 53204","1006 S BARCLAY ST, MILWAUKEE, WI 53204",TRUE
"1006 W HADLEY ST, MILWAUKEE, WI 53206","1006 W HADLEY ST, MILWAUKEE, WI 53206",TRUE
"1006 WINSLOW AV, WOODSTOCK, IL 60098","1006 WINSLOW AVE, WOODSTOCK, IL 60098",TRUE
"10066 N GRASSLYN RD, MEQUON, WI 53092","10066 N GRASSLYN RD, MEQUON, WI 53092",TRUE
"1007 GOZA RD, FAYETTEVILLE, GA 35215","1007 GOZA RD, FAYETTEVILLE, GA 30215",TRUE
"1007 N CASS ST, MILWAUKEE, WI 53202","1007 N CASS ST, MILWAUKEE, WI 53202",TRUE
"1007 S BAYSHORE BL UN 106, SAFETY HARBOR, FL 34695","1007 S BAYSHORE BLVD, UNIT 106, SAFETY HARBOR, FL 34695",TRUE
"1007 W CAPITOL DR, MILWAUKEE, WI 53206","1007 W CAPITOL DR, MILWAUKEE, WI 53206",TRUE
"1007 W CHAMBERS ST, MILWAUKEE, WI 53206","1007 W CHAMBERS ST, MILWAUKEE, WI 53206",TRUE
"1007 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204","1007 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204",TRUE
"100711 PO BOX, MILWAUKEE, WI 53210","100711 PO BOX, MILWAUKEE, WI 53210",FALSE
"1008 E 6TH ST, RUSSELVILLE, AR 72801","1008 E 6TH ST, RUSSELLVILLE, AR 72801",TRUE
"1008 E GRANDVIEW ST, MESA, AZ 85203","1008 E GRANDVIEW ST, MESA, AZ 85203",TRUE
"1008 LAKEFIELD RD APT 3, GRAFTON, WI 53024","1008 LAKEFIELD RD, APT 3, GRAFTON, WI 53024",TRUE
"10080 LAWNDALE DR, CEDARBURG, WI 53012","10080 LAWNDALE DR, CEDARBURG, WI 53012",TRUE
"10085 W LISBON AV, MILWAUKEE, WI 53222","10085 W LISBON AVE, MILWAUKEE, WI 53222",TRUE
"10085 W LISBON AV, WAUWATOSA, WI 53222","10085 W LISBON AVE, MILWAUKEE, WI 53222",TRUE
"1009 GILBERT RD APT 20, MADISON, WI 53711","1009 GILBERT RD, APT 20, MADISON, WI 53711",TRUE
"10093 ANNIE ST, ELK GROVE, CA 95757","10093 ANNIE ST, ELK GROVE, CA 95757",TRUE
"1009A W BURNHAM ST, MILWAUKEE, WI 53204","1009 W BURNHAM ST, MILWAUKEE, WI 53204",TRUE
"1009A W BURNHAM ST, MILWAUKEE, WI 53206","1009 W BURNHAM ST, MILWAUKEE, WI 53204",TRUE
"101 ACORN LA, DOVER, DE 19901","101 ACORN LN, DOVER, DE 19901",TRUE
"101 DEVON ST, SAUKVILLE, WI 53080","101 DEVON ST, SAUKVILLE, WI 53080",TRUE
"101 E GRAND AV SUITE 6, PORT WASHINGTON, WI 53074","101 E GRAND AVE, STE 6, PORT WASHINGTON, WI 53074",TRUE
"101 E GRAND AV, PORT WASHINGTON, WI 53074","101 E GRAND AVE, PORT WASHINGTON, WI 53074",TRUE
"101 E LAKE LA, COLGATE, WI 53017","101 E LAKE LN, COLGATE, WI 53017",TRUE
"101 GINSENG DR, SUNSET, SC 29685","101 GINSENG DR, SUNSET, SC 29685",TRUE
"101 HUDSON ST 3FL, JERSEY CITY, NJ 07302","101 HUDSON ST, UNIT 3, JERSEY CITY, NJ 07302",TRUE
"101 NNPTC CR, GOOSE CREEK, SC 29445","101 NNPTC CR, GOOSE CREEK, SC 29445",FALSE
"101 NW 189 TR, MIAMI, FL 33169","101 NW 189TH ST, MIAMI, FL 33169",TRUE
"101 PARK PAIK DALE, NORTH LITTLE ROCK, AR 72117","101 PARK PL, NORTH LITTLE ROCK, AR 72117",TRUE
"101 S UNION ST UNIT 201, PLYMOUTH, MI 48170","101 S UNION ST, UNIT 201, PLYMOUTH, MI 48170",TRUE
"101 SPRUNT ST, CHAPEL HILL, NC 27517","101 SPRUNT ST, CHAPEL HILL, NC 27517",TRUE
"101 STORCK ST, SLINGER, WI 53086","101 STORCK ST, SLINGER, WI 53086",TRUE
"101 W PLEASANT ST SUITE 106, MILWAUKEE, WI 53212","101 W PLEASANT ST, STE 106, MILWAUKEE, WI 53212",TRUE
"1010 N CASS ST, MILWAUKEE, WI 53202","1010 N CASS ST, MILWAUKEE, WI 53202",TRUE
"1010 NORTH CASS ST, MILWAUKEE, WI 53202","1010 N CASS ST, MILWAUKEE, WI 53202",TRUE
"1010 S WAYFARE TR, OCONOMOWOC, WI 53066","1010 S WAYFARE TRL, OCONOMOWOC, WI 53066",TRUE
"1010 W BRENTWOOD LA, GLENDALE, WI 53217","1010 W BRENTWOOD LN, MILWAUKEE, WI 53217",TRUE
"1010 WESTON HILLS DR, BROOKFIELD, WI 53045","1010 WESTON HILLS DR, BROOKFIELD, WI 53045",TRUE
"1010 WESTON HILLS, BROOKFIELD, WI 53045","1010 WESTON HILLS DR, BROOKFIELD, WI 53045",TRUE
"10100 W GOOD HOPE RD, MILWAUKEE, WI 53224","10100 W GOOD HOPE RD, MILWAUKEE, WI 53224",TRUE
"10108 S AMHERST CT, OAK CREEK, WI 53154","10108 S AMHERST CT, OAK CREEK, WI 53154",TRUE
"10108 S MACINTOSH LA, OAK CREEK, WI 53154","10108 S MACINTOSH LN, OAK CREEK, WI 53154",TRUE
"1011 E BRADY ST, MILWAUKEE, WI 53202","1011 E BRADY ST, MILWAUKEE, WI 53202",TRUE
"1011 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204","1011 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204",TRUE
"1011 W THERESA LA, GLENDALE, WI 53209","1011 W THERESA LN, MILWAUKEE, WI 53209",TRUE
"1011 W WALKER ST LOWER, MILWAUKEE, WI 53204","1011 W WALKER ST, MILWAUKEE, WI 53204",TRUE
"10110 W TOWER AV, MILWAUKEE, WI 53224","10110 W TOWER AVE, MILWAUKEE, WI 53224",TRUE
"10113 W HIGHWOOD AV, MILWAUKEE, WI 53222","10113 W HIGHWOOD AVE, MILWAUKEE, WI 53222",TRUE
"10115 HAMPTON DR, OAK CREEK, WI 53154","10115 S HAMPTON DR, OAK CREEK, WI 53154",TRUE
"10115 S HAMPTOM DR, OAK CREE5, WI 53154","10115 S HAMPTOM DR, OAK CREE5, WI 53154",FALSE
"10115 S HAMPTON DR, OAK CREEK, WI 53152","10115 S HAMPTON DR, OAK CREEK, WI 53154",TRUE
"10115 S HAMPTON DR, OAK CREEK, WI 53154","10115 S HAMPTON DR, OAK CREEK, WI 53154",TRUE
"10115 S HAMPTON DR, OAK CREEK, WI 53514","10115 S HAMPTON DR, OAK CREEK, WI 53154",TRUE
"10115 S HAMPTON, OAK CREEK, WI 53154","10115 S HAMPTON DR, OAK CREEK, WI 53154",TRUE
"1012 E PLEASANT ST, MILWAUKEE, WI 53202","1012 E PLEASANT ST, MILWAUKEE, WI 53202",TRUE
"1012 EDGEFIELD LA, FORNEY, TX 75126","1012 EDGEFIELD LN, FORNEY, TX 75126",TRUE
"1012 W RING ST, MILWAUKEE, WI 53206","1012 W RING ST, MILWAUKEE, WI 53206",TRUE
"1012 W RING ST, MIOLWAUKEE, WI 53206","1012 W RING ST, MILWAUKEE, WI 53206",TRUE
"1012 WHITEHALL DR, PLANO, TX 75023","1012 WHITEHALL DR, PLANO, TX 75023",TRUE
"10120 N SHERDAN DR, MEQUON, WI 53092","10120 SHERIDAN DR, MEQUON, WI 53092",TRUE
"10120 N SHERIDAN DR, MEQUON, WI 53092","10120 SHERIDAN DR, MEQUON, WI 53092",TRUE
"10120 N VINTAGE CT, MEQUON, WI 53092","10120 N VINTAGE CT, MEQUON, WI 53092",TRUE
"10120 S HAMPTON DR, OAK CREEK, WI 53124","10120 S HAMPTON DR, OAK CREEK, WI 53154",TRUE
"10120 S HAMPTON DR, OAK CREEK, WI 53154","10120 S HAMPTON DR, OAK CREEK, WI 53154",TRUE
"10120 S MACINTOSH LA, OAK CREEK, WI 53154","10120 S MACINTOSH LN, OAK CREEK, WI 53154",TRUE
"10120 W FOREST HOME AV, HALES CORNERS, WI 53130","10120 W FOREST HOME AVE, HALES CORNERS, WI 53130",TRUE
"10120 W SHERIDAN DR, MEQUON, WI 53092","10120 SHERIDAN DR, MEQUON, WI 53092",TRUE
"10122 W HIGHWOOD AV, WAUWATOSA, WI 53222","10122 W HIGHWOOD AVE, MILWAUKEE, WI 53222",TRUE
"10124 KIEHNAU AV, MILWAUKEE, WI 53224","10124 W KIEHNAU AVE, MILWAUKEE, WI 53224",TRUE
"10124 W KIEHNAU AV, MILWAUKEE, WI 53224","10124 W KIEHNAU AVE, MILWAUKEE, WI 53224",TRUE
"10125 S 52 ST, FRANKLIN, WI 53132","10125 S 52ND ST, FRANKLIN, WI 53132",TRUE
"10125 S 52ND ST, FRANKLIN, WI 53132","10125 S 52ND ST, FRANKLIN, WI 53132",TRUE
"10125 W GOOD HOPE RD, MILWAUKEE, WI 53224","10125 W GOOD HOPE RD, MILWAUKEE, WI 53224",TRUE
"10125 W NORTH AV, WAUWATOSA, WI 53226","10125 W NORTH AVE, MILWAUKEE, WI 53226",TRUE
"10129 N BROOKDALE DR, MEQUON, WI 53092","10129 N BROOKDALE DR, MEQUON, WI 53092",TRUE
"1013 E PRICE CT, MILWAUKEE, WI 53207","1013 E PRICE CT, MILWAUKEE, WI 53207",TRUE
"1013 S 25TH ST, MILWAUKEE, WI 53204","1013 S 25TH ST, MILWAUKEE, WI 53204",TRUE
"1013 S 32ND ST, MILWAUKEE, WI 53215","1013 S 32ND ST, MILWAUKEE, WI 53215",TRUE
"1013 S 34TH ST, MILWAUKEE, WI 53215","1013 S 34TH ST, MILWAUKEE, WI 53215",TRUE
"1013 W BADGER ST, MADISON, WI 53713","1013 W BADGER RD, MADISON, WI 53713",TRUE
"1013 W WALKER ST, MILWAUKEE, WI 53204","1013 W WALKER ST, MILWAUKEE, WI 53204",TRUE
"10130 MCGRAW DR, OAK CREEK, WI 53154","10130 S MCGRAW DR, OAK CREEK, WI 53154",TRUE
"10130 S MCGRAW DR, OAK CREEK, WI 53154","10130 S MCGRAW DR, OAK CREEK, WI 53154",TRUE
"10130 S WARWICK DR, OAK CREEK, WI 53154","10130 S WARWICK DR, OAK CREEK, WI 53154",TRUE
"10130 W TOWER AV, MILWAUKEE, WI 53224","10130 W TOWER AVE, MILWAUKEE, WI 53224",TRUE
"10131 PLAINFIELD AV, GREENFIELD, WI 53228","10131 W PLAINFIELD AVE, MILWAUKEE, WI 53228",TRUE
"10131 W NASH ST, WAUWATOSA, WI 53222","10131 W NASH ST, MILWAUKEE, WI 53222",TRUE
"10136 W FOND DU LAC AV GAT, MILWAUKEE, WI 53224","10136 W FOND DU LAC AVE, MILWAUKEE, WI 53224",TRUE
"10136 W FOND DU LAC AV GATE, MILWAUKEE, WI 53224","10136 W FOND DU LAC AVE, MILWAUKEE, WI 53224",TRUE
"10136 W FOND DU LAC AV UN B, MILWAUKEE, WI 53224","10136 W FOND DU LAC AVE, MILWAUKEE, WI 53224",TRUE
"10136 W FOND DU LACE 8, MILWAUKEE, WI 53224","10136 W FOND DU LACE 8, MILWAUKEE, WI 53224",FALSE
"10137 BROOKDALE DR, MEQUON, WI 53092","10137 N BROOKDALE DR, MEQUON, WI 53092",TRUE
"10137 W CALUMET RD, MILWAUKEE, WI 53224","10137 W CALUMET RD, MILWAUKEE, WI 53224",TRUE
"1014 BEACONSFIELD CT, WINTER GARDEN, FL 34787","1014 BEACONS FIELD CT, WINTER GARDEN, FL 34787",TRUE
"1014 E LYON ST, MILWAUKEE, WI 53202","1014 E LYON ST, MILWAUKEE, WI 53202",TRUE
"1014 ERNST DR, GREEN BAY, WI 54304","1014 ERNST DR, GREEN BAY, WI 54304",TRUE
"1014 LOYOLA WY, VALLEJO, CA 94589","1014 LOYOLA WAY, VALLEJO, CA 94589",TRUE
"1014 W EL PATIO LA, MEQUON, WI 53092","1014 W EL PATIO LN, MEQUON, WI 53092",TRUE
"1014 W EL PATIO LA, MEQUON, WI 53214","1014 W EL PATIO LA, MEQUON, WI 53214",FALSE
"1014 W GREENFIELD AV, MILWAUKEE, WI 53204","1014 W GREENFIELD AVE, MILWAUKEE, WI 53204",TRUE
"1014 W MADISON ST, MILWAUKEE, WI 53204","1014 W MADISON ST, MILWAUKEE, WI 53204",TRUE
"10140 W DENIS AV, HALES CORNERS, WI 53130","10140 W DENIS AVE, HALES CORNERS, WI 53130",TRUE
