TAXKEY,residential_units,commercial_units
2821103100,1,0
2920637000,1,0
5340812000,1,0
2670882000,1,0
3211741000,1,0
4210291000,2,0
2780042000,1,0
5110191000,2,0
5710510000,1,0
5980103000,2,0
2611335000,1,0
4030385000,1,0
1890011110,1,0
2070292000,0,1
4901270000,1,0
5381104000,1,0
4601163000,2,0
2670671000,0,0
3500320000,2,0
3490708000,0,1
5071251000,3,0
2480601000,1,0
5590519000,1,0
5350127000,1,0
5159893000,1,0
2660498000,1,0
2120121000,1,0
2260843000,1,0
4171110100,0,0
4590747000,1,0
3220922000,2,0
3861010000,1,0
3650320000,0,0
4200426100,1,0
3860205100,0,1
1170124000,1,0
5040765000,1,0
0050129000,0,0
1520067000,1,0
1920182000,1,0
2830529000,0,0
3280356000,2,0
4661234000,2,0
2530646000,2,0
2711907000,1,0
3650805100,1,0
1750086000,1,0
2870142000,1,0
3190404000,2,0
4709975000,1,1
4332080000,2,0
3190519000,3,0
0810029000,1,0
4961549000,1,0
2270125100,1,0
5050703000,1,0
2681233000,1,0
2480071100,1,0
4670327000,0,0
4680824000,3,1
0040031000,1,0
4171148000,1,0
3670253000,1,0
5480322000,1,0
3290329000,1,0
5580109000,1,0
3060010000,1,0
3600416000,1,0
5600335100,1,0
2070630000,1,0
6870781000,0,2
2320303000,1,0
2310606000,1,0
3281694000,0,1
4702360000,1,0
6240131000,1,0
5401126100,1,0
5730410000,1,0
3201528000,2,0
2851035000,2,0
5120467000,1,0
3641392000,0,0
2811067000,1,0
4061241000,1,0
2300509000,2,0
2920772000,1,0
3220712000,3,0
4020708000,1,0
2712408000,1,0
1160151000,1,0
2701806000,2,0
3550673000,1,0
6899959130,1,0
0840067000,1,0
2920140000,1,0
2290215000,1,0
5590903100,1,0
1710554000,1,0
4711086100,2,0
3010039000,1,0
3080871000,1,0
4600807000,1,0
5270277000,1,0
3651013000,2,0
1760042000,1,0
2100706000,1,0
2261073000,1,0
5001005000,1,0
5300101000,1,0
3471124000,1,0
5031615000,1,0
2880389000,1,0
3230671000,2,0
3460738000,2,0
1760236000,1,0
1840228000,1,0
1480070000,1,0
4580885000,2,0
3180079000,2,0
5380250000,1,0
6250132000,0,1
5470552000,1,0
2650628000,1,0
2430026100,0,30
3460209000,1,0
3080154000,1,0
1399850200,1,0
4940262000,0,0
3221179000,1,0
3160049000,2,0
5401421000,1,0
2240423100,0,1
1510061000,1,0
5491905000,2,0
6231117000,1,0
3051323000,2,0
2320201000,4,0
2660733000,2,0
1710110000,1,0
2830554000,2,0
4690644000,1,0
0310435000,0,0
3130739000,2,0
1520176000,1,0
4240239114,0,0
5390080000,1,0
2670117000,1,0
1430763000,1,0
3141118000,1,0
4050334000,0,1
5490642100,0,0
5520317000,1,0
5730615000,1,0
4590198000,1,0
2140188000,1,0
3522601110,0,12
2469996000,0,0
5360281000,1,0
3141037000,1,0
2851210100,1,0
4660058000,1,0
2530964000,2,0
2610074000,1,0
3521961000,0,0
5380104000,1,0
2700602000,1,0
2890194000,4,0
5740106000,2,0
2130769000,2,0
2100277000,1,0
4311000100,0,4
4350808000,1,0
5279885000,1,0
2080826000,1,0
4689995000,2,0
2920147000,1,0
3850652000,2,0
6432520000,1,0
5979981100,1,0
3922061100,0,105
5280748000,1,0
2170209000,1,0
3651320000,1,0
2270175100,1,0
3281647000,2,0
3461152000,2,0
3250396000,0,0
5510804000,1,0
2680535000,1,0
5520503000,1,0
7160299000,1,0
4971242000,2,0
5340280000,1,0
4351088100,1,0
1430576000,1,0
2440147000,1,0
3151403000,2,0
2501094000,1,0
2722317000,2,0
3122604100,1,0
1921167000,1,0
4580860000,1,0
7160005000,1,0
3210628000,2,0
1921174000,1,0
3071224000,1,0
0310511000,0,0
5580325000,1,0
1950236000,1,0
2711013110,2,0
4320267000,1,0
3480535000,2,0
5301013000,1,0
2110056000,1,0
4920404000,1,0
4920907000,8,0
3541258000,1,0
6900116000,1,0
3120120000,0,0
2701460000,2,0
2100142000,1,0
4331985000,3,0
5080238000,1,0
3280734000,2,0
4961106000,2,0
4050124000,2,0
4050566000,1,0
2790194000,2,0
2440493000,1,0
2810622000,2,0
3470911000,0,0
6230113000,1,0
5800628000,1,0
2531044000,1,0
5360520000,3,0
2610096000,1,0
5710595000,1,0
1750752000,2,0
2501101000,1,0
0840141000,1,0
3641451000,1,0
4581507000,2,0
5269996100,1,0
5770106100,2,0
5980309000,1,0
3900176000,0,0
2812050000,1,0
4050392000,2,0
5610517000,1,0
3680326000,2,0
2811052111,0,4
2852114100,1,0
2640531000,2,0
2630781000,1,0
1920497000,2,0
3060112000,1,0
2120666000,1,0
2530967000,1,0
5460237000,2,0
1200232000,1,0
2130001000,1,0
2860652000,2,0
1840266000,1,0
3231916000,1,0
5950105000,1,0
3461656000,1,0
1700416000,1,0
3080411000,2,0
4310968000,0,2
4341308000,3,0
2070111000,2,0
2731020200,0,2
5080008000,1,3
5560089000,1,0
4710053000,1,0
5380002000,1,0
5819990000,2,0
2851330000,2,0
4570017000,1,0
3531761000,1,0
2510477000,1,0
5590362000,1,0
4601732000,1,0
3161805000,2,0
2640381000,1,0
3120411110,2,0
4050544000,1,0
5280423000,0,0
4720174000,1,0
3130405000,0,0
3130577100,1,0
3611688111,0,2836
1880716000,1,0
2640519000,1,0
5820715000,1,0
4040510000,1,0
2090105000,17,0
5970144000,2,0
0730140000,1,0
4980011100,0,0
2890967000,2,0
3120701100,2,1
3891912000,1,0
2822633000,1,0
4080005000,1,0
1430206000,1,0
1900227000,1,0
3101830000,2,0
3250451000,2,0
3531172000,1,0
5260665000,1,0
1780505000,0,2
5120117000,1,0
2050182400,2,0
3492601000,1,0
1510416000,2,0
5140601000,1,0
5319892000,0,26
2070682000,8,0
3081119000,1,0
4709963000,0,0
2241024000,1,0
3200503000,2,0
3210417000,1,0
4891015000,1,0
4901273000,1,0
1420010000,1,0
2120164000,1,0
4161181100,1,0
4970401000,2,0
2500225000,1,0
3010251000,1,0
2050306000,1,0
5370444000,2,0
2680006000,2,0
3121708000,1,0
3020672000,1,0
3469929000,1,0
2860240000,2,0
5071052000,2,0
5140649000,1,0
1520087000,1,0
4940493100,2,0
2631041000,1,0
4990401100,1,0
5291035000,1,0
3102110000,0,0
3514054000,0,0
5810359000,1,0
2530979000,1,0
3461802000,2,0
6239855100,1,0
4620848000,2,0
2470204000,1,0
2711020000,2,0
3480499000,1,0
1921150000,1,0
4351368000,2,0
5380018110,3,0
2680172000,2,0
5480088000,2,0
5391124000,1,0
2880923000,1,0
1960009110,1,0
2842026000,2,0
2260973000,1,0
5390527000,1,0
2812617000,1,0
5070856000,1,0
2640343000,1,0
5360240000,1,0
3492403000,2,0
4351418000,2,0
1160041000,1,0
3290131000,2,0
3500804000,0,1
4210430100,1,0
4620230100,3,0
1921129000,1,0
5260901000,1,0
3251369000,1,0
1230801000,1,0
2090220000,1,0
4692414000,2,0
5470588000,1,0
3900122100,34,0
3850405000,12,0
2630301110,0,2
2620019000,1,0
3281269000,1,0
4061608000,1,0
3290735000,1,0
2851833130,0,0
3481234000,2,0
2430733100,2,0
2310266000,1,0
4310213000,1,0
4600195000,1,0
5271007000,2,0
3120165000,0,0
1230328100,0,1
2610208000,1,0
2720326000,2,0
3140665000,2,0
3481061000,1,0
5800587000,1,0
0440021100,0,361
2300043000,1,0
5519853000,2,0
4920125000,1,0
1760267000,1,0
4970884000,1,0
5519919000,1,0
2250426000,1,0
4331035000,1,0
2140176000,1,0
3031433000,1,0
3020525000,1,0
5971014000,2,0
5070559000,2,0
4341306000,4,0
5489906000,1,0
3530757000,2,0
3231419100,0,0
1170361100,0,0
3891710000,24,0
4060763000,0,2
4219933000,0,0
4227001000,0,0
5259854600,1,0
2812662000,1,0
4180532000,1,0
4970648000,1,0
3480251000,2,0
5510104000,1,0
5810512100,1,0
2870826000,1,0
1921237000,1,0
6240902000,1,0
2520544000,1,0
2731582100,2,0
0320032000,0,4
7160215000,1,0
2540230000,1,0
5380210000,1,0
5800364000,1,0
5470598000,1,0
5381285000,2,0
3201105000,4,0
3632555000,3,0
2470587000,2,0
5480335000,1,0
4320232000,24,0
1391062000,2,0
1870033000,1,0
5030435000,2,0
5010212000,1,0
2940200000,1,0
1870219000,1,0
3670873000,2,0
3249830110,0,0
5030053000,1,0
2720067000,2,0
2520001000,1,0
1920576000,1,0
2300447000,1,0
3651062000,1,0
3249848000,1,0
0359999111,0,0
5110412000,1,0
1129984120,0,0
4940230000,1,0
4591312000,1,0
3271331000,1,0
4350300000,2,0
5569987110,1,0
2470408000,1,0
5149997000,1,0
5130637000,1,0
6410033100,0,141
3112048000,1,0
4310502100,0,4
5300201000,1,0
3050437000,8,0
2830653000,2,0
3271519000,1,0
2801035000,1,0
1909850120,10,0
5360789000,1,0
1871201000,0,1
5821034000,1,0
6709990112,1,0
5130611000,1,0
2090316100,2,0
2101017000,2,0
4050571000,1,0
4180421000,1,0
2710206000,1,0
2080721000,1,0
4691828000,1,0
2830677100,0,0
4090212000,1,0
1410453000,1,0
5700077000,1,0
5550323000,1,0
5950521000,1,0
5320087000,1,0
5120606000,1,0
3250677000,1,0
4940706000,2,0
3050850000,1,0
4369999000,0,0
2070702000,1,0
3870313000,2,0
2480399000,1,0
5359999000,4,0
3481048000,1,0
2130347000,1,0
3240168000,0,0
4692223000,4,0
6231130000,1,0
2870011000,2,0
2620425000,1,0
1080108000,1,0
2730423000,1,0
2920438000,1,0
4350912000,2,0
3250957110,0,1
2830505100,1,0
5360557000,2,0
4180182000,2,0
4580412000,2,0
4970078100,1,0
3200512000,0,0
4000715000,1,0
4699965000,2,0
5250805000,1,0
5510449000,1,0
5040639000,1,0
4901259000,1,0
2280310000,1,0
1760435000,1,0
1740625000,1,0
2650227000,1,0
3212010000,1,0
2710841000,1,0
3121530000,0,0
5511034000,3,0
2610734000,1,0
2090065100,1,0
3522157100,0,0
5141106000,1,0
4950061000,0,1
2842214000,2,0
4040639000,1,0
5250323000,1,0
5610534000,1,0
1760716000,2,0
1940129000,1,0
5940613000,1,0
2801205000,1,0
2780004000,1,0
2810005000,2,0
3481202100,2,0
3670463000,2,0
5400430000,2,0
4970783000,1,0
2299873000,1,0
2450308000,1,0
3071115000,2,0
4010984100,0,1
2240401000,1,0
4601595000,2,0
5521462000,1,0
1230122000,1,0
2280014000,1,0
0050029000,1,0
3010259112,0,2
4979961000,4,0
4940032000,1,0
2660161000,1,0
4350657000,1,0
2290676000,1,0
3651426000,1,0
2030249000,0,0
5130442000,1,0
1210383000,1,0
1430153000,1,0
3020311000,1,0
4342318000,1,0
3050490000,1,0
4991966000,1,0
6900123000,1,0
3503321000,1,0
1160120000,1,0
1509942200,1,0
2842085000,1,0
2821804000,0,0
5521221000,1,0
2100903000,2,0
3050009000,1,0
3651344000,1,0
3860631000,2,0
3291608000,2,0
5560121000,1,0
3513962000,1,0
3660718000,2,0
5100331000,2,0
5330353100,1,0
1519971100,1,0
3090358000,1,0
6239797000,1,0
5959945100,1,0
3249953000,2,0
5030729000,2,0
3512158100,0,0
0840267000,1,0
1750870000,1,0
2251100000,1,0
4011705000,0,0
4680043000,2,0
5580567000,1,0
2790507000,0,1
3469951000,1,0
3040503000,8,0
1170272000,1,0
2540666100,1,0
1090059000,1,0
5080708000,2,0
5040899000,1,0
4940598100,1,0
5940239000,1,0
3530764100,1,2
1239918200,1,0
2479846000,2,0
3881804000,2,0
1369979110,2,5
3540920100,0,1
2480803000,4,0
5381267000,1,0
2790013000,1,0
1450592000,0,0
4281112000,13,2
2091203000,2,0
4601496000,2,0
1430631000,1,0
5800932000,1,0
4590912000,3,0
4920506000,1,0
2890724000,2,0
3132311000,2,0
3060765000,1,0
6440414000,1,0
3101887000,2,0
5120612000,1,0
1860223000,1,0
5130110000,0,0
5350401000,1,0
3513531000,1,0
5730393000,2,0
2730320000,1,0
3531251000,2,0
0730116000,1,0
5521315000,1,0
2830278000,1,0
2880168000,2,0
3211354000,3,0
3460111000,1,0
2871144110,0,0
2240681000,1,0
2660575000,2,0
5530723100,0,39
3930461000,0,5
5360516000,2,0
2130521000,1,0
3550126000,1,0
4351415000,2,0
1810482000,1,0
4702764000,1,0
5380620000,1,0
2110603000,1,0
3113104100,50,0
2280507000,1,0
1180044000,1,0
3231080000,0,0
4280388000,12,0
4891442000,1,3
3141011000,2,0
3080736000,1,0
1740301000,2,0
3050941100,0,1
3140514000,2,0
5381274200,1,0
5710135000,1,0
2251252000,1,0
1370111000,1,0
1700644000,1,0
4340229000,1,0
4579920000,1,0
1450730000,2,0
4680949000,1,0
2930887000,1,0
2610600000,1,0
3060123000,1,0
3031334000,1,0
3600208000,2,0
4311009100,2,0
3641401000,2,0
6440506000,1,0
5351129000,1,0
4350819000,1,0
0840215000,1,0
2790314000,1,0
3271813000,0,1
2270520000,1,0
3150331000,2,0
3030207000,1,0
1810592000,1,0
2441042000,2,0
0790212000,1,0
2880107000,1,0
3631404000,1,1
2300102000,1,0
5279951100,1,0
2120408000,1,0
3101943100,2,0
5560470000,1,0
2670869000,1,0
2290967000,2,0
4060704000,2,0
4000518000,2,0
1580259000,1,0
3221282000,1,0
2260618000,2,0
5770413000,1,0
6900032000,1,0
2680406000,1,0
5600509000,1,0
3220114000,2,0
2440405000,2,0
1920759000,0,0
2650222000,1,0
5130317000,1,0
2500941000,1,0
3541121000,1,0
3541122000,1,0
3541123000,1,0
3541124000,1,0
3541125000,1,0
3541126000,1,0
3541127000,1,0
3541128000,1,0
3541129000,1,0
3541130000,1,0
3541131000,1,0
3541132000,1,0
3541133000,1,0
3541134000,1,0
3541135000,1,0
3541136000,1,0
3541137000,1,0
3541138000,1,0
3541139000,1,0
3541140000,1,0
3541141000,1,0
3541142000,1,0
3541143000,1,0
3541144000,1,0
3541145000,1,0
3541146000,1,0
3541147000,1,0
3541148000,1,0
3541149000,1,0
3541150000,1,0
3541151000,1,0
3541152000,1,0
3541153000,1,0
3541154000,1,0
3541155000,1,0
3541156000,1,0
3541157000,1,0
3541158000,1,0
3541159000,1,0
3541160000,1,0
3541161000,1,0
3541162000,1,0
3541164000,1,0
3541165000,1,0
3541166000,1,0
3541167000,1,0
3541168000,1,0
3541169000,1,0
3541170000,1,0
3541171000,1,0
3541172000,1,0
3541173000,1,0
3541174000,1,0
3541175000,1,0
3541176000,1,0
3541177000,1,0
3541178000,1,0
3541179000,1,0
3541180000,1,0
3541181000,1,0
3541182100,1,0
3541183100,1,0
3541184000,1,0
3541185000,1,0
3541186000,1,0
3541187000,1,0
0000005939,0,0
2851638100,1,0
3080147000,2,0
5619932211,1,0
6890214000,1,0
1900246000,1,0
5950552000,1,0
6449963116,1,0
3211606000,2,0
2281006000,1,0
2140355000,2,0
3100105000,1,0
5959868120,0,1
2470115000,1,0
3490213000,0,0
1580370000,1,0
2841315000,2,0
2712434000,1,0
5730379000,2,0
2681107000,2,0
0430871000,0,22
1230257000,1,0
2920538000,1,0
4200455000,2,0
3290777000,1,0
1430475000,1,0
2251057000,1,0
4601545000,1,0
3020537000,1,0
2880446000,2,0
5290530000,1,0
5071043000,1,0
2340012100,0,2
2860778000,2,0
3010278000,1,0
3521914000,4,0
3660356000,1,0
1921171000,2,0
1589998110,0,0
5780304000,2,0
2290020000,2,0
5140074000,1,0
2130497000,1,0
2240577000,2,0
2890638000,1,0
3121538000,1,0
4330015000,4,0
2310573000,1,0
1430371000,1,0
3211813000,1,0
4320420000,2,0
1439987100,4,0
4350737000,2,0
5410357000,2,0
5301215000,0,0
4991276000,2,0
3061568000,1,0
5140013000,1,0
3502094000,1,0
5010315000,1,0
4620148000,1,0
4671003000,2,0
3240413000,2,0
2450464000,1,0
4701010000,1,0
5290557000,2,0
4681113000,2,0
3211164000,4,0
2720218000,2,0
3061184000,1,0
2820332100,2,0
1921264000,1,0
4690426000,1,0
3470530000,2,0
5350582000,1,0
2140165000,1,0
2440675000,1,0
3111747000,2,0
3480522000,2,0
6690201000,1,0
4579939000,1,0
5040032000,1,0
2290653000,1,0
3501281000,1,0
1919867000,1,0
3670658000,1,0
4040007000,4,0
4330557000,1,0
5590113000,1,0
2851626000,2,0
3670431000,1,0
5320283000,1,0
4321112000,37,1
3050966000,1,0
5330721000,1,0
2490802000,0,2
5350727000,1,0
2712593000,2,0
2510150000,1,0
2800102000,2,0
2680563000,1,0
5030471000,1,0
3211777000,2,0
3220221000,1,0
2680361000,1,0
3140139000,1,0
4050794100,1,0
4710358000,1,0
3100339000,2,0
4351408000,1,0
5970530000,4,0
5001352000,1,0
2881072000,2,0
3141163000,2,0
5031149000,1,0
5410717000,2,0
1780392100,1,0
4690657000,2,0
3070405000,2,0
3680032000,2,0
2500319000,0,9
4250002000,0,0
1960167000,1,0
2881143000,1,0
3161427000,1,0
1710310000,1,0
2110074000,1,0
2501015000,2,0
4891238000,1,0
1239901110,9,0
5040738000,1,0
2780231000,1,0
2920625000,1,0
1550018000,3,0
2880626000,1,0
5400056000,1,0
4579974000,0,0
5051059000,1,0
3212242000,4,1
4660121000,4,3
4161191000,1,0
4970668000,2,0
6440424000,1,0
2449954000,1,0
6870698000,1,0
1770053100,1,0
2631005000,4,0
2120721000,1,0
4340205000,4,0
2810106000,1,0
3250303000,2,0
3880134000,1,0
5479965000,1,0
2480407000,0,0
5380086000,1,0
1870603000,4,0
0050053000,1,0
2320310000,2,0
1501914000,1,0
