wdfi_id,corp_name_clean,address_city,wdfi_group_id,corp_mprop_match
E025201,825 WEST WISCONSIN AVENUE LLC,831 W WISCONSIN AV MILWAUKEE,1931,FALSE
E026630,EL NINO LLC,9711 N VALLEY HILL DR MEQUON,2073,TRUE
E026684,EAGLE CORPORATION,PO 18243 MILWAUKEE,2201,TRUE
F021607,"THE ""4302 BUILDING""(A LIMITED PARTNERSHIP)",2333 MISTY LA WAUKESHA,710,FALSE
F024769,FOR SALE WITH OWNER INC,W3475 COUNTY RD B JOHNSON CREEK,2484,FALSE
F024770,FOR SALE FOR OWNER INC,W3475 COUNTY RD B JOHNSON CREEK,2484,FALSE
F026084,FIRST PROPERTY LLC,413 N 2ND ST 100 MILWAUKEE,1282,FALSE
F027287,SECOND PROPERTY LLC,413 N 2ND ST 100 MILWAUKEE,1282,FALSE
F030426,FRIEDMAN-MANDEL HOUSING ACCOUNT LLP,P O BOX 16569 MILWAUKEE,2196,FALSE
G026074,GREEN ROAD BUILDING LLC,12750 W NORTH AV B BROOKFIELD,240,FALSE
G026822,GCL INC,3891 N SHERMAN BL MILWAUKEE,1194,TRUE
G027038,GREEN BAY BEER COMPANY,9711 N VALLEY HILL DR MEQUON,2073,FALSE
G028052,GLIDDEN HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
G029583,GLEN COURTS APARTMENTS LLP,P O BOX 16569 MILWAUKEE,2196,FALSE
H022246,HERITAGE HOUSE ELDERLY HOUSING PROJECT LIMITED PARTNERSHIP,5300 S 108TH ST 1 HALES CORNERS,1524,FALSE
H022938,HAYMARKET INVESTORS LIMITED PARTNERSHIP,2025 N SUMMIT AV MILWAUKEE,592,FALSE
H024469,HAYMARKET INVESTORS LIMITED PARTNERSHIP II,2025 N SUMMIT AV MILWAUKEE,592,FALSE
H029037,HEGWOOD LLC,8647 JACKSON PARK BL WAUWATOSA,1971,FALSE
H029802,ALOHA PROPERTIES LLC,7120 W GOOD HOPE RD MILWAUKEE,1795,FALSE
H031305,HIGHLANDER DEVELOPMENT CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
H031679,HOWARD AVENUE SHOPPING CENTER LLC,4864 S 10TH ST MILWAUKEE,1437,FALSE
I015562,IMPACT ACCEPTANCE CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
I017216,ICRC 1 CORP,1665 N WATER ST MILWAUKEE,431,FALSE
I017743,IRON HORSE INVESTMENTS LLC,12425 KNOLL RD ELM GROVE,208,FALSE
I018131,ICRC 2 CORP,1665 N WATER ST MILWAUKEE,431,FALSE
J018527,HEADQUARTERSCOM INC,10125 S 52ND ST FRANKLIN,25,FALSE
J020230,JOINT VENTURE LLC,PO BOX 11159 MILWAUKEE,2209,FALSE
K021925,KNOWLTON TERRACE 1 (A WISCONSIN LIMITED PARTNERSHIP),2333 MISTY LA WAUKESHA,710,FALSE
K025136,BAUMGARTNER REALTY LLC,5745 SCHOOL RD WEST BEND,1599,FALSE
K025994,KOOL KIDS CLUB INC,2966 COUNTY RD C JACKSON,935,FALSE
K026064,KHAMIT INSTITUTE INCORPORATED,3907 N SHERMAN BL MILWAUKEE,1207,FALSE
K026119,KETTLERIDGE LIMITED PARTNERSHIP,5745 SCHOOL RD WEST BEND,1599,FALSE
K027150,K B CO 2456 LLC,2333 MISTY LA WAUKESHA,710,TRUE
K027634,KEFESAL LLC,1026 ROBERTSON ST WAUWATOSA,39,TRUE
K027818,K B CO 2488 LLC,2333 MISTY LA WAUKESHA,710,FALSE
K027828,K B CO 1561 LLC,2333 MISTY LA WAUKESHA,710,TRUE
L029796,LANDMARK VENTURES LLC,PO BOX 190 LAKE GENEVA,2246,TRUE
L030455,"NANCY WHEELER SC",500 COLLEGE AV RACINE,1461,FALSE
L031220,BG LEIN MANAGEMENT CORPORATION,1111 W LAYTON AV MILWAUKEE,119,FALSE
L032250,LPO LLC,2333 MISTY LA WAUKESHA,710,TRUE
L032261,L & C ENTERPRISES LLP,10409 N SUNFLOWER CT MEQUON,62,TRUE
M034218,MAPLE VILLAGE LLC,10575 W FOREST HOME AV 301 HALES CORNERS,77,FALSE
M034267,MITCHELL INVESTMENT PROPERTIES-LIMITED PARTNERSHIP,10125 W NORTH AV WAUWATOSA,26,FALSE
M040030,MELODY GARDENS I LIMITED PARTNERSHIP,8018 W CAPITOL DR MILWAUKEE,1888,FALSE
M041618,MT CASTLE CORPORATION,3808 W ELM ST MILWAUKEE,1179,FALSE
M044928,MR P'S TIRES S 108TH LLC,6005 N 76TH ST MILWAUKEE,1631,FALSE
M044931,MR P'S TIRES 76TH INC,6005 N 76TH ST MILWAUKEE,1631,FALSE
M046692,MILWAUKEE BEER COMPANY,9711 N VALLEY HILL DR MEQUON,2073,FALSE
M047509,THE MAYFLOWER MOTEL & LOUNGE LLC,2509 PERRY ST MADISON,772,FALSE
M047898,MARKESAN BRIDGE STREET LLC,14 MAIN ST MONTELLO,308,FALSE
M048238,MITCHELL 551 LLC,529 W HISTORIC MITCHELL ST MILWAUKEE,1521,FALSE
M048456,MLG INVESTMENTS LLC,19000 W BLUEMOUND RD BROOKFIELD,525,FALSE
M048621,MARENGO FALLS HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
M050224,MORGAN FALLS DEVELOPMENT CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
M051443,MANCHESTER HEIGHTS LLP,P O BOX 16569 MILWAUKEE,2196,FALSE
N024418,NEWSUM LLC,3487 N LAKE DR MILWAUKEE,1106,TRUE
O015055,"THE ""1710 BUILDING"" A WIS LIMITED PARTNERSHIP",2333 MISTY LA WAUKESHA,710,FALSE
O015056,"THE ""1910 BUILDING"" A LIMITED PARTNERSHIP",2333 MISTY LA WAUKESHA,710,FALSE
O018253,LAKE GENEVA LLC,PO BOX 513 BIG BEND,2318,FALSE
O018998,OPUS CORPORATION,PO BOX 638 MILWAUKEE,2329,FALSE
O019028,OAK CREEK COURTS-PHASE I LLP,P O BOX 16569 MILWAUKEE,2196,FALSE
P023288,PEBBLE VALLEY VILLAGE LLC,10575 W FOREST HOME AV 301 HALES CORNERS,77,FALSE
P025609,G4 INCORPORATED,3031 WEST LINCOLN AV MILWAUKEE,962,FALSE
P031187,PACHEFSKY PROPERTY LLC,6005 N 76TH ST MILWAUKEE,1631,TRUE
P031979,VIRGINIA B PIERCE LLC,700 S WATER ST MILWAUKEE,1779,FALSE
P032199,PRAISE TEMPLE INC,6103 W CAPITOL DR MILWAUKEE,1657,TRUE
P032569,PROPERTIES LLC,14 MAIN ST MONTELLO,308,TRUE
P032570,PGA INC,7306 ZINSER ST WESTON,1816,FALSE
P032784,PORT GRANDVIEW DEVELOPMENT LLC,110 E GRAND AV PORT WASHINGTON,105,FALSE
P032926,PLATER FAMILY LLC,N75W27761 SUMMERSTONE RD HARTLAND,2167,FALSE
P033603,EASTGATE LLC,1200 N MAYFAIR RD 410 MILWAUKEE,176,FALSE
Q002659,QUALITY DEVELOPMENT CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
R030425,REDCO ENTERPRISES LLC,PO BOX 20602 MILWAUKEE,2250,TRUE
R030426,REDCO MANAGEMENT LLC,PO BOX 20602 MILWAUKEE,2250,TRUE
R033571,RUBINS REALTY LLC,11512 N PORT WASHINGTON RD 201 MEQUON,152,FALSE
S041069,ST LAWRENCE ENTERPRISES INC,1250 KERECHUN RD HUBERTUS,213,FALSE
S045422,SCHIERL BROS-LLC,2201 MADISON ST STEVENS POINT,652,FALSE
S049191,SG PROPERTIES LLC,1267 FOUR WINDS WA HARTLAND,238,TRUE
S049411,SHARLEY LIMITED PARTNERSHIP,6333 PARKVIEW RD GREENDALE,1699,FALSE
S049475,IMPACT PRESERVATION CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
S050709,SECOND GENERATION PROPERTY MANAGEMENT LLC,18840 EMERALD DR BROOKFIELD,521,FALSE
S051443,SINGH INC OF ILLINOIS,9520 W WOELFEL RD FRANKLIN,2058,FALSE
S051612,SYLVAN PARTNERS LLC,2110 W BRANTWOOD AV GLENDALE,622,FALSE
S051748,SCS 84 LLC,4616 FRANKFORT RD GEORGETOWN,1391,TRUE
S051749,4719 KINGDOM CT LLC,PO BOX 513 BIG BEND,2318,FALSE
S052698,SHERIDAN ROAD POST OFFICE LLC,252 E HIGHLAND AV MILWAUKEE,776,FALSE
S053818,SHANAGOLDEN DEVELOPMENT CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
S054421,SUNSTARR HOUSING GROUP LLC,845 S MAIN ST 100 FOND DU LAC,1947,FALSE
S054688,SUNSTARR DEVELOPMENT GROUP LLC,845 S MAIN ST 100 FOND DU LAC,1947,FALSE
S054886,SANTORINI PROPERTIES LLC,S75W17237 JANESVILLE 28884 MILWAUKEE,2385,TRUE
S054977,PLASTER GALLERY LLC,526 W NATIONAL AV 200 MILWAUKEE,1515,FALSE
T021706,TRIGON INC,356 SUNSHINE DR HARTLAND,1127,FALSE
T022100,TERRACE APARTMENTS INC,20865 DAVIDSON RD WAUKESHA,612,TRUE
T024527,TFB-LLC,2201 MADISON ST STEVENS POINT,652,FALSE
T024822,TRIKE PROPERTY MANAGEMENT LLC,PO BOX 11159 MILWAUKEE,2209,FALSE
T027198,THIRD PROPERTY LLC,413 N 2ND ST 100 MILWAUKEE,1282,FALSE
T027216,2123 WEST MICHIGAN LLP,1665 N WATER ST MILWAUKEE,431,FALSE
T027438,TM-2 LLC,PO BOX 170246 WHITEFISH BAY,2236,TRUE
T027663,PROPERTIES PLUS OF WISCONSIN LLC,PO BOX 513 BIG BEND,2318,FALSE
T027686,11250 W COLDSPRING LLC,PO BOX 513 BIG BEND,2318,FALSE
T027835,THIRD WORLD LLC,700 S WATER ST MILWAUKEE,1779,FALSE
T028052,3326 RICHARDS LLC,6700 W FAIRVIEW AV MILWAUKEE,1740,TRUE
T029529,TANNERY REMNANTS LLC,700 S WATER ST MILWAUKEE,1779,FALSE
U014809,UNISOURCE REAL ESTATE LLC,1200 N MAYFAIR RD 410 MILWAUKEE,176,FALSE
U014892,UNISOURCE CENTRES LLC,1200 N MAYFAIR RD 410 MILWAUKEE,176,FALSE
V016895,MITCHELL B VAN DYKE LLC,700 S WATER ST MILWAUKEE,1779,FALSE
W034604,WHITEMARSH PROPERTIES LLC,14 MAIN ST MONTELLO,308,FALSE
W034880,WHITNALL GLEN LLC,5300 S 108TH ST 1 HALES CORNERS,1524,FALSE
W034966,WELLS-JEFFERSON CORPORATION,W279N2865 ROCKY POINT RD PEWAUKEE,2469,FALSE
W036154,WISCONSIN INVESTMENTS LLC,19000 W BLUEMOUND RD BROOKFIELD,525,FALSE
W038202,WIECHMANN ENTERPRISES II LLC,1010 N CASS ST MILWAUKEE,21,FALSE
W038816,MJ WILBUR PROPERTIES LLC,3647 S CHASE AV MILWAUKEE,1145,FALSE
W039996,WIEGAND INVESTMENTS 755 LLC,2308 W WISCONSIN AV MILWAUKEE,693,FALSE
W040112,WATERTOWN EAST-PHASE III LLP,P O BOX 16569 MILWAUKEE,2196,FALSE
1A02064,ABBOT ROW CORPORATION,1041 E OGDEN AV MILWAUKEE,64,TRUE
1A02301,THE ARES CORPORATION,1007 N CASS ST MILWAUKEE,16,FALSE
1B17740,BENRUD PROPERTIES CORP,3311 GOLF RD EAU CLAIRE,1056,FALSE
1C10372,CAPITOL FURS & FASHIONS INC,8333 W CAPITOL DR MILWAUKEE,1933,FALSE
1E11326,ELSIE'S FROZEN CUSTARD INC,W279N2865 ROCKY POINT RD PEWAUKEE,2469,FALSE
1F02515,FRANKLIN ARMS COMPANY,1665 N WATER ST MILWAUKEE,431,FALSE
1F05448,FAIR FINANCE CORP,10575 W FOREST HOME AV HALES CORNERS,78,FALSE
1F08907,FALAFEL HOUSE INC,168 W CLOVERNOOK LA GLENDALE,435,FALSE
1G02173,THE GENERAL SERVICE CORPORATION,526 W NATIONAL AV 200 MILWAUKEE,1515,FALSE
1H05539,HONIGMAN RECYCLING CORP,8919 N REGENT RD BAYSIDE,1988,FALSE
1H10793,HAKO CORPORATION,825 N JEFFERSON ST 350 MILWAUKEE,1921,FALSE
1J04953,JONAS BUILDERS INC,3939 W MCKINLEY AV MILWAUKEE,1220,FALSE
1K10390,KAZTEX FINANCIAL INC,N28W23000 ROUNDY DR 203 PEWAUKEE,2119,FALSE
1M06955,THE MAENATE CO,6005 N 76TH ST MILWAUKEE,1631,FALSE
1P03386,PAL CORPORATION,10936 N PORT WASHINGTON RD 135 MEQUON,96,FALSE
1P03471,POST MANAGEMENT CORPORATION,10936 N PORT WASHINGTON RD 135 MEQUON,96,FALSE
1S06224,1609 PROSPECT AVENUE COMPANY,1665 N WATER ST MILWAUKEE,431,FALSE
1S13045,6800 TEUTONIA CORPORATION,3744 W GREEN TREE RD MILWAUKEE,1162,FALSE
1S19820,SCHIERL SALES CORP,2201 MADISON ST STEVENS POINT,652,FALSE
1T04492,3700 GREEN TREE CORPORATION,3744 W GREEN TREE RD MILWAUKEE,1162,TRUE
1T06011,TOSA INVESTMENT CORPORATION,10131 W NASH ST WAUWATOSA,29,TRUE
1U01734,A J UGENT FURS & FASHIONS INC,8333 W CAPITOL DR MILWAUKEE,1933,FALSE
1Z00413,Z M CORPORATION,1129 MURRAY LA W HUBERTUS,135,TRUE
6G07006,GARDEN APARTMENTS CORPORATION,524 TECHNOLOGY WA SAUKVILLE,1510,FALSE
6M18139,MARQUETTE UNIVERSITY,1250 W WISCONSIN AV MILWAUKEE,216,TRUE
6M18314,MARQUETTE DELTA CORPORATION,2033 S 1ST ST UNIT 324 MILWAUKEE,598,TRUE
6S16108,SURING NON-PROFIT HOUSING CORPORATION,150 E GILMAN ST 1500 MADISON,345,FALSE
M051530,BL MARTIN INVESTMENTS LLC,PO BOX 12325 MILWAUKEE,2220,TRUE
W040204,WALLACE PROPERTIES LLC,9429 N REGENT CT MILWAUKEE,2051,TRUE
O019115,1400 LTD,4130 S LAKE DR 375 SAINT FRANCIS,1283,TRUE
W040383,WIEGAND INVESTMENTS 1002 LLC,1840 N FARWELL AV A MILWAUKEE,507,TRUE
W040389,WIEGAND INVESTMENTS 805 LLC,2308 W WISCONSIN AV MILWAUKEE,693,FALSE
W040397,WIEGAND INVESTMENTS 624 LLC,2308 W WISCONSIN AV MILWAUKEE,693,TRUE
B042968,BREWERS HILL APARTMENTS 1835 LLC,1840 N FARWELL AV A MILWAUKEE,507,FALSE
B042969,BREWERS HILL APARTMENTS 1922 LLC,4200 N MARYLAND AV SHOREWOOD,1296,FALSE
W040403,WIEGAND ENTERPRISES LLC,2308 W WISCONSIN AV MILWAUKEE,693,FALSE
N027371,NICK/WILL LLC,5150 N PORT WASHINGTON RD 151 MILWAUKEE,1490,FALSE
S055987,SPIRIT OF THE LAKESHORE LLC,700 S WATER ST MILWAUKEE,1779,FALSE
F030677,FISHERMAN'S POINT LLC,700 S WATER ST MILWAUKEE,1779,FALSE
A039934,AES PROPERTIES LLC,191 CHURCH ST 100 LOMIRA,530,TRUE
B043107,BAY SPRINGS HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
T030036,TIMBER LAKE HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
F030707,FLAMBEAU HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
G029910,GANDY DANCER HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
A040023,ALAN R ALTERI SC,18840 EMERALD DR BROOKFIELD,521,FALSE
S056155,SLS NEUFELD PROPERTIES LLC,2050 W GOOD HOPE RD GLENDALE,606,TRUE
F030768,FOURTH PROPERTY LLC,413 N 2ND ST 100 MILWAUKEE,1282,TRUE
W040606,WY OCONOMOWOC LLC,1200 N MAYFAIR RD 410 MILWAUKEE,176,FALSE
I019330,IKAROS 1 LLC,9902 LEE DR EDEN PRAIRIE,2082,TRUE
I019335,IKAROS 7 LLC,9902 LEE DR EDEN PRAIRIE,2082,FALSE
I019336,IKAROS 6 LLC,9902 LEE DR EDEN PRAIRIE,2082,FALSE
I019337,IKAROS 9 LLC,9902 LEE DR EDEN PRAIRIE,2082,FALSE
I019338,IKAROS 8 LLC,9902 LEE DR EDEN PRAIRIE,2082,FALSE
B043354,B & B INVESTMENTS 2 LLC,5464 N PORT WASHINGTON RD MILWAUKEE,1556,TRUE
W040733,WILC/MVL LLP,19000 W BLUEMOUND RD BROOKFIELD,525,FALSE
T030291,325 LLC,6700 W FAIRVIEW AV MILWAUKEE,1740,FALSE
G030167,GIBRALTAR LANDSCAPE AND CONSTRUCTION LLC,20250 W COFFEE RD NEW BERLIN,593,FALSE
P036811,GM PONTO 1 LLC,4550 S 123RD ST GREENFIELD,1379,FALSE
P036812,GM PONTO 2 LLC,4550 S 123RD ST GREENFIELD,1379,TRUE
P036813,GM PONTO 3 LLC,4550 S 123RD ST GREENFIELD,1379,FALSE
K028897,MADISON HOTEL PROPERTIES LLC,2509 PERRY ST MADISON,772,FALSE
M052752,MILLER MANAGEMENT II LLC,POBOX 170246 MILWAUKEE,2357,FALSE
K029011,KANE PLACE LLC,1158 E KANE PL MILWAUKEE,157,TRUE
V017786,VIEIRA VENTURE'S INC,26066 S WIND LAKE RD WIND LAKE,808,FALSE
F031233,FOXBEACH LLC,3487 N LAKE DR MILWAUKEE,1106,TRUE
B043871,BARBARA CT LLC,4864 S 10TH ST MILWAUKEE,1437,FALSE
W041097,WALKER'S POINTE APARTMENT HOMES LLC,PO BOX 1602 MILWAUKEE,2229,FALSE
D030262,NILSEN REALTY INC,2102 N 62ND ST WAUWATOSA,618,FALSE
A040998,AMERICAN DREAM CLEANING CORPORATION,346 W RAVINE BAYE RD BAYSIDE,1098,FALSE
B044143,BEST INVESTMENT LLC,6117 W CAPITOL DR MILWAUKEE,1663,TRUE
K029239,K B CO 2004 LLC,2333 MISTY LA WAUKESHA,710,FALSE
T030978,3324 AUER LLC,6700 W FAIRVIEW AV MILWAUKEE,1740,FALSE
M053528,MIDWEST AFFORDABLE HOUSING CORPORATION,7861 N FAIRCHILD RD FOX POINT,1875,FALSE
S057865,SCHUELE GROUP LLC,W61N427 WASHINGTON AV CEDARBURG,2494,TRUE
L033453,A LARSEN PROPERTIES LLC,1022 COUNTY RD A WEST BEND,36,TRUE
L033454,B LARSEN PROPERTIES LLC,1022 COUNTY RD A WEST BEND,36,TRUE
B044468,BUTZER PROPERTIES LLC,7311 W BURLEIGH ST MILWAUKEE,1819,FALSE
M053587,MLG/WAUKESHA LLC,19000 W BLUEMOUND RD BROOKFIELD,525,FALSE
R036451,ROMERO PROPERTIES LLC,1424 S 12TH ST MILWAUKEE,321,TRUE
P037674,PELICAN LAKE HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
H033499,HOFFMAN'S LANDING HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
J022624,JONAS FAMILY LIMITED PARTNERSHIP,3939 W MCKINLEY AV MILWAUKEE,1220,FALSE
G030807,GHOST CREEK HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
W041681,WEISS PROPERTIES LLC,W133S8033 NORTHVIEW DR MUSKEGO,2409,FALSE
A041485,ACTION PROPERTIES I LLC,7120 W GOOD HOPE RD MILWAUKEE,1795,FALSE
E029789,EL SENORIAL LLC,1901 S 31ST ST MILWAUKEE,527,FALSE
S058258,7311 BURLEIGH LLC,7311 W BURLEIGH ST MILWAUKEE,1819,FALSE
S058260,S2 TECHNOLOGIES LLC,11512 W WOODSIDE DR HALES CORNERS,153,FALSE
P037884,PJB FALLS LLC,12750 W NORTH AV B BROOKFIELD,240,FALSE
H033704,HOLMAN HOMES LLC,W360S3139 STATE RD 67 DOUSMAN,2487,TRUE
T031557,2103 NORTH PROSPECT LLC,4864 S 10TH ST MILWAUKEE,1437,FALSE
S058965,SPHINX INCORPORATED,3951 W DORY DR FRANKLIN,1227,FALSE
P038233,PROSPECT II LLC,5745 SCHOOL RD WEST BEND,1599,TRUE
K029755,KHAHRA PETROLEUM INC,N38W7588 GREYSTONE CT CEDARBURG,2126,FALSE
S059088,SHECTERLE PROPERTIES LLC,PO BOX 1205 BROOKFIELD,2219,TRUE
L034081,LAKE COUNTRY INN OF OCONOMOWOC LLC,1111 W LAYTON AV MILWAUKEE,119,FALSE
W042261,WIEGAND INVESTMENTS 2435 LLC,2308 W WISCONSIN AV MILWAUKEE,693,FALSE
C052748,COVENTRY MEADOWS LLC,5745 SCHOOL RD WEST BEND,1599,FALSE
M054929,MLG CAPITAL LLC,19000 W BLUEMOUND RD BROOKFIELD,525,FALSE
J023144,JBC 1 LLC,1007 N CASS ST MILWAUKEE,16,TRUE
C052932,CITY HOME INSPECTION LLC,7401 W BROWN DEER RD MILWAUKEE,1831,FALSE
W042498,WALLEN INVESTMENTS LLC,19000 W BLUEMOUND RD BROOKFIELD,525,FALSE
S059770,SPB LLC,1010 N CASS ST MILWAUKEE,21,FALSE
N028857,NORTH AVENUE COMMONS LLC,4864 S 10TH ST MILWAUKEE,1437,FALSE
D031761,DBJ LLC,9520 W WOELFEL RD FRANKLIN,2058,TRUE
W042766,WINDSOR INVESTMENTS LLC,2014 E WINDSOR PL MILWAUKEE,582,TRUE
C053402,CAMP MARENGO HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
C053403,COFFEE LAKE HOUSING CORPORATION,2961 DECKER DR RICE LAKE,931,FALSE
R037745,R&B HOLDINGS LLC,9205 W CENTER ST 211 MILWAUKEE,2022,TRUE
F032703,4864 SOUTH 10TH ST LLC,4864 S 10TH ST MILWAUKEE,1437,FALSE
W042871,WISCONSIN HOUSING PRESERVATION CORP,150 E GILMAN ST 1500 MADISON,345,FALSE
T032708,TRIPLE TRANSPORT INC,5938 S 13TH ST MILWAUKEE,1621,FALSE
H034821,HOMER PROPERTIES LLC,PO BOX 70145 MILWAUKEE,2333,TRUE
P039251,PIERCE STREET 3377 LLC,3351 N LAKE DR MILWAUKEE,1072,FALSE
S060705,ANN MARIE STYZA LLC,840 W RYAN RD 307 OAK CREEK,1937,FALSE
D032154,DECKER REAL ESTATE LLC,250 N SUNNY SLOPE RD 290 BROOKFIELD,765,FALSE
K030470,K B CO 2601 LLC,2333 MISTY LA WAUKESHA,710,FALSE
A043449,THE ALLYN GROUP LLC,6700 W FAIRVIEW AV MILWAUKEE,1740,FALSE
P039412,PLINTH GROUP LLC,2025 N SUMMIT AV MILWAUKEE,592,TRUE
W043284,WALKERS POINT COMMONS LLC,4864 S 10TH ST MILWAUKEE,1437,FALSE
S061224,SERVICE MONDIAL LLC,1665 N WATER ST MILWAUKEE,431,FALSE
M056448,MBZ 2439 LLC,24516 SANDY POINT DR WIND LAKE,756,TRUE
M056449,MBZ 4501 LLC,24516 SANDY POINT DR WIND LAKE,756,FALSE
W043427,WESTSHORE DEVELOPMENT GROUP LLC,3900 W BROWN DEER RD 260 MILWAUKEE,1199,FALSE
T033247,II CHIEF INVESTMENTS LLC,7718 W NATIONAL AV WEST ALLIS,1859,TRUE
J023883,JCAMP LLC,5304 W WILBUR AV GREENFIELD,1527,FALSE
T033274,3716 N 5TH STREET LLC,7311 W BURLEIGH ST MILWAUKEE,1819,TRUE
T033277,2912 N 23RD STREET LLC,7311 W BURLEIGH ST MILWAUKEE,1819,FALSE
T033278,3362 N 22ND STREET LLC,7311 W BURLEIGH ST MILWAUKEE,1819,TRUE
T033288,3388 N 27TH STREET LLC,7311 W BURLEIGH ST MILWAUKEE,1819,TRUE
