wdfi_address_raw,wdfi_address,standardized
"1006 E CHURCHILL LN, FOX POINT, WI 53217-2803","1006 E CHURCHILL LN, MILWAUKEE, WI 53217",TRUE
"1006 S BARCLAY ST, MILWAUKEE, WI 53204-1838","1006 S BARCLAY ST, MILWAUKEE, WI 53204",TRUE
"1007 N CASS ST, APT 108, MILWAUKEE, WI 53202","1007 N CASS ST, APT 108, MILWAUKEE, WI 53202",TRUE
"1007 N CASS ST, APT 108, MILWAUKEE, WI 53202-3374","1007 N CASS ST, APT 108, MILWAUKEE, WI 53202",TRUE
"1007 N CASS ST, MILWAUKEE, WI 53202-3374","1007 N CASS ST, MILWAUKEE, WI 53202",TRUE
"1007 N. CASS ST., MILWAUKEE, WI 53202-3374","1007 N CASS ST, MILWAUKEE, WI 53202",TRUE
"1007 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204-3308","1007 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204",TRUE
"1007 W. HISTORIC MITCHELL ST, MILWAUKEE, WI 53204","1007 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204",TRUE
"10093 ANNIE STREET, ELK GROVE, CA 95757","10093 ANNIE ST, ELK GROVE, CA 95757",TRUE
"101 E GRAND AVE, STE 11, PORT WASHINGTON, WI 53074-2241","101 E GRAND AVE, STE 11, PORT WASHINGTON, WI 53074",TRUE
"101 E GRAND AVE, STE 6, PORT WASHINGTON, WI 53074-2241","101 E GRAND AVE, STE 6, PORT WASHINGTON, WI 53074",TRUE
"101 E GRAND AVE, SUITE 6, PORT WASHINGTON, WI 53074","101 E GRAND AVE, STE 6, PORT WASHINGTON, WI 53074",TRUE
"101 E MAIN ST, STE 4, WAUNAKEE, WI 53597-1196","101 E MAIN ST, STE 4, WAUNAKEE, WI 53597",TRUE
"101 N BRAND BLVD, FL 11, GLENDALE, CA 91203-2638","101 N BRAND BLVD, FL 11, GLENDALE, CA 91203",TRUE
"1010 N CASS ST, MILWAUKEE, WI 53202","1010 N CASS ST, MILWAUKEE, WI 53202",TRUE
"1010 N CASS ST, MILWAUKEE, WI 53202-3356","1010 N CASS ST, MILWAUKEE, WI 53202",TRUE
"1010 N. CASS ST., MILWAUKEE, WI 53202","1010 N CASS ST, MILWAUKEE, WI 53202",TRUE
"1010 W BRENTWOOD LN, GLENDALE, WI 53217","1010 W BRENTWOOD LN, MILWAUKEE, WI 53217",TRUE
"1011 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204-3308","1011 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204",TRUE
"10115 S HAMPTON DR, OAK CREEK, WI 53154","10115 S HAMPTON DR, OAK CREEK, WI 53154",TRUE
"10115 S HAMPTON DR, OAK CREEK, WI 53154-5563","10115 S HAMPTON DR, OAK CREEK, WI 53154",TRUE
"10120 N VINTAGE CT, MEQUON, WI 53092-6194","10120 N VINTAGE CT, MEQUON, WI 53092",TRUE
"10120 N. VINTAGE CT., MEQUON, WI 53092","10120 N VINTAGE CT, MEQUON, WI 53092",TRUE
"10125 S 52ND ST, FRANKLIN, WI 53132","10125 S 52ND ST, FRANKLIN, WI 53132",TRUE
"10125 S 52ND ST, FRANKLIN, WI 53132-8677","10125 S 52ND ST, FRANKLIN, WI 53132",TRUE
"10125 S. 52ND ST, FRANKLIN, WI 53132","10125 S 52ND ST, FRANKLIN, WI 53132",TRUE
"10125 W NORTH AVE, WAUWATOSA, WI 53226","10125 W NORTH AVE, MILWAUKEE, WI 53226",TRUE
"10125 W NORTH AVE, WAUWATOSA, WI 53226-2426","10125 W NORTH AVE, MILWAUKEE, WI 53226",TRUE
"1013 S 32ND ST, MILWAUKEE, WI 53215","1013 S 32ND ST, MILWAUKEE, WI 53215",TRUE
"1013 S 32nd St, Milwaukee, WI 53215","1013 S 32ND ST, MILWAUKEE, WI 53215",TRUE
"1013 W WALKER ST, MILWAUKEE, WI 53204","1013 W WALKER ST, MILWAUKEE, WI 53204",TRUE
"1013 W WALKER ST, MILWAUKEE, WI 53204-1351","1013 W WALKER ST, MILWAUKEE, WI 53204",TRUE
"10131 W NASH ST, WAUWATOSA, WI 53222-2332","10131 W NASH ST, MILWAUKEE, WI 53222",TRUE
"10131 W. PLAINFIELD AVE., GREENFIELD, WI 53228","10131 W PLAINFIELD AVE, MILWAUKEE, WI 53228",TRUE
"10136 W FOND DU LAC AVE, MILWAUKEE, WI 53224","10136 W FOND DU LAC AVE, MILWAUKEE, WI 53224",TRUE
"10136 W FOND DU LAC AVE, MILWAUKEE, WI 53224-5191","10136 W FOND DU LAC AVE, MILWAUKEE, WI 53224",TRUE
"10156 S WOODSIDE CT, OAK CREEK, WI 53154-6626","10156 S WOODSIDE CT, OAK CREEK, WI 53154",FALSE
"1017 W WASHINGTON BLVD, UNIT 6H, CHICAGO, IL 60607-2112","1017 W WASHINGTON BLVD, UNIT 6, CHICAGO, IL 60607",TRUE
"102 N. MADISON STREET, P O BOX 188, CHILTON, WI 53014","102 N MADISON ST 188, CHILTON, WI 53014",TRUE
"1020 E LAND PL, MILWAUKEE, WI 53202","1020 E LAND PL, MILWAUKEE, WI 53202",TRUE
"1020 E LAND PL, MILWAUKEE, WI 53202-1537","1020 E LAND PL, MILWAUKEE, WI 53202",TRUE
"1020 E LOCUST ST, MILWAUKEE, WI 53212","1020 E LOCUST ST, MILWAUKEE, WI 53212",TRUE
"1020 E LOCUST ST, MILWAUKEE, WI 53212-2638","1020 E LOCUST ST, MILWAUKEE, WI 53212",TRUE
"10209 W WHITNALL EDGE DR, UNIT C, FRANKLIN, WI 53132","10209 W WHITNALL EDGE DR, UNIT C, FRANKLIN, WI 53132",TRUE
"10216 W VERA AVE, MILWAUKEE, WI 53224","10216 W VERA AVE, MILWAUKEE, WI 53224",TRUE
"10216 W. VERA AVE, MILWAUKEE, WI 53224","10216 W VERA AVE, MILWAUKEE, WI 53224",TRUE
"1023 W HISTORIC MITCHELL ST, MILWAUKKEE, WI 53204","1023 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204",TRUE
"1023 W HISTORIC MITCHELL ST., MILWAUKEE, WI 53204","1023 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204",TRUE
"10230 W VERA AVE, MILWAUKEE, WI 53224-4438","10230 W VERA AVE, MILWAUKEE, WI 53224",TRUE
"10233 W NORTH AVE, WAUWATOSA, WI 53226","10233 W NORTH AVE, MILWAUKEE, WI 53226",TRUE
"10247 W KIEHNAU AVE, MILWAUKEE, WI 53224","10247 W KIEHNAU AVE, MILWAUKEE, WI 53224",TRUE
"1025 E STONEGATE DR, OAK CREEK, WI 53154","1025 E STONEGATE DR, OAK CREEK, WI 53154",TRUE
"1025 STONEGATE DRIVE, OAK CREEK, WI 53154","1025 E STONEGATE DR, OAK CREEK, WI 53154",TRUE
"1026 ROBERTSON ST, WAUWATOSA, WI 53213","1026 N ROBERTSON ST, MILWAUKEE, WI 53213",TRUE
"1026 S 114TH ST, WEST ALLIS, WI 53214-2228","1026 S 114TH ST, MILWAUKEE, WI 53214",TRUE
"1028 E JUNEAU AVE, # 204-206, MILWAUKEE, WI 53202-2933","1028 E JUNEAU AVE, APT 206, MILWAUKEE, WI 53202",TRUE
"1028 E JUNEAU AVE, APT 514, MILWAUKEE, WI 53202-2947","1028 E JUNEAU AVE, APT 514, MILWAUKEE, WI 53202",TRUE
"1028 E JUNEAU AVE, UNIT 703, MILWAUKEE, WI 53202","1028 E JUNEAU AVE, APT 703, MILWAUKEE, WI 53202",TRUE
"1028 S 36 TH ST, MILWAUKEE, WI 53215","1028 S 36TH ST, MILWAUKEE, WI 53215",TRUE
"1028 S. 9TH STREET, MILWAUKEE, WI 53204","1028 S 9TH ST, MILWAUKEE, WI 53204",TRUE
"1028 S. 9TH STREET, MILWAUKEE, WISCONSIN 53204","1028 S 9TH ST, MILWAUKEE, WI 53204",TRUE
"1028 W CAPITOL DR, MILWAUKEE, WI 53206","1028 W CAPITOL DR, MILWAUKEE, WI 53206",TRUE
"1028 W KEEFE AVE, MILWAUKEE, WI 53206","1028 W KEEFE AVE, MILWAUKEE, WI 53206",TRUE
"103 W CHAMBERS ST, MILWAUKEE, WI 53212-2417","103 W CHAMBERS ST, MILWAUKEE, WI 53212",TRUE
"1030 KEATS CIR, OCONOMOWOC, WI 53066-4322","1030 KEATS CIR, OCONOMOWOC, WI 53066",TRUE
"1030 TERRACE DR, ELM GROVE, WI 53122-2036","1030 TERRACE DR, ELM GROVE, WI 53122",TRUE
"10303 W OKLAHOMA AVE, MILWAUKEE, WI 53227-4135","10303 W OKLAHOMA AVE, MILWAUKEE, WI 53227",TRUE
"1032 E QUEENS WAY, NEKOOSA, WI 54457-9277","1032 E QUEENS WAY, NEKOOSA, WI 54457",TRUE
"1032 S CESAR CHAVEZ DR, MILWAUKEE, WI 53204","1032 S CESAR E CHAVEZ DR, MILWAUKEE, WI 53204",TRUE
"1032 W WALKER ST, MILWAUKEE, WI 53204","1032 W WALKER ST, MILWAUKEE, WI 53204",TRUE
"1035 W WILLOW DR, OAK CREEK, WI 53154","1035 W WILLOW DR, OAK CREEK, WI 53154",TRUE
"1035 W WILLOW DR, OAK CREEK, WI 53154-2838","1035 W WILLOW DR, OAK CREEK, WI 53154",TRUE
"10350 S JUSTIN DR, OAK CREEK, WI 53154","10350 S JUSTIN DR, OAK CREEK, WI 53154",TRUE
"10350 S JUSTIN DR, OAK CREEK, WI 53154-6537","10350 S JUSTIN DR, OAK CREEK, WI 53154",TRUE
"1037 W MCKINLEY AVE, SUITE 318, MILWAUKEE, WI 53205","1037 W MCKINLEY AVE, SUITE 318, MILWAUKEE, WI 53205",FALSE
"1037 W MCKINLEY AVE., SUITE 318, MILWAUKEE, WI 53205","1037 W MCKINLEY AVE., SUITE 318, MILWAUKEE, WI 53205",FALSE
"103A WEST CHAMBERS STREET, MILWAUKEE, WI 53212","103 A W CHAMBERS ST, MILWAUKEE, WI 53212",TRUE
"103A WEST CHAMBERS, MILWAUKEE, WI 53212","103 A W CHAMBERS ST, MILWAUKEE, WI 53212",TRUE
"104 E MASON ST, APT A, MILWAUKEE, WI 53202-3594","104 E MASON ST, APT A, MILWAUKEE, WI 53202",TRUE
"104 E MASON ST, APT STE101, MILWAUKEE, WI 53202-3594","104 E MASON ST, UNIT 101, MILWAUKEE, WI 53202",TRUE
"104 E MASON ST, MILWAUKEE, WI 53202-3594","104 E MASON ST, MILWAUKEE, WI 53202",TRUE
"104 E MASON ST, STE A, MILWAUKEE, WI 53202-3594","104 E MASON ST, STE A, MILWAUKEE, WI 53202",TRUE
"104 E MASON ST, UNIT 101, MILWAUKEE, WI 53202-3592","104 E MASON ST, UNIT 101, MILWAUKEE, WI 53202",TRUE
"104 SECOND ST, APT 4, ALLENTON, WI 53002-1015","104 2ND ST, APT 4, ALLENTON, WI 53002",TRUE
"104 Second St, Apt 4, Allenton, WI 53002-1015","104 2ND ST, APT 4, ALLENTON, WI 53002",TRUE
"10402 N HADDONSTONE PL, MEQUON, WI 53092","10402 N HADDONSTONE PL, MEQUON, WI 53092",TRUE
"10409 N SUNFLOWER CT, MEQUON, WI 53092","10409 SUNFLOWER CT, MEQUON, WI 53092",TRUE
"1041 E OGDEN AVE, MILWAUKEE, WI 53202-2831","1041 E OGDEN AVE, MILWAUKEE, WI 53202",TRUE
"1041 E. MILLS DRIVE, LAKE MILLS, WI 53551","1041 E MILLS DR, LAKE MILLS, WI 53551",TRUE
"1041 E. Mills Drive, Lake Mills, WI 53551","1041 E MILLS DR, LAKE MILLS, WI 53551",TRUE
"10424 W. WOODWARD AVE., WAUWATOSA, WI 53222","10424 W WOODWARD AVE, MILWAUKEE, WI 53222",TRUE
"10441 W VERA AVE, MILWAUKEE, WI 53224","10441 W VERA AVE, MILWAUKEE, WI 53224",TRUE
"10443 S. 76TH ST, FRANKLIN, WI 53132","10443 S 76TH ST, FRANKLIN, WI 53132",TRUE
"10444 W TERRA AVE, MILWAUKEE, WI 53224-2629","10444 W TERRA AVE, MILWAUKEE, WI 53224",TRUE
"10444 W. TERRA AVE, MILWAUKEE, WI 53224","10444 W TERRA AVE, MILWAUKEE, WI 53224",TRUE
"1045 W GLEN OAKS LN, STE 104, MEQUON, WI 53092-3477","1045 W GLEN OAKS LN, STE 104, MEQUON, WI 53092",TRUE
"105 BITTERNUT LN, WESTERVILLE, OH 43081-4535","105 BITTERNUT LN, WESTERVILLE, OH 43081",TRUE
"10505 W HAWTHORNE FARM LN, MEQUON, WI 53097-1910","10505 W HAWTHORNE FARM LN, MEQUON, WI 53097",TRUE
"10517 W WOODWARD AVE, WAUWATOSA, WI 53222","10517 W WOODWARD AVE, MILWAUKEE, WI 53222",TRUE
"10517 W WOODWARD AVE, WAUWATOSA, WI 53222-2365","10517 W WOODWARD AVE, MILWAUKEE, WI 53222",TRUE
"10526 N BURNING BUSH LN, MEQUON, WI 53092","10526 N BURNING BUSH LN, MEQUON, WI 53092",TRUE
"10539 N. WOOD CREST DRIVE, MEQUON, WI 53092","10539 N WOOD CREST DR, MEQUON, WI 53092",TRUE
"10540 W SHERIDAN AVE, MILWAUKEE, WI 53225-3244","10540 W SHERIDAN AVE, MILWAUKEE, WI 53225",TRUE
"10541 W CHURCH ST, FRANKLIN, WI 53132-2220","10541 W CHURCH ST, FRANKLIN, WI 53132",TRUE
"1055 SPRING ST, GRAFTON, WI 53024-1984","1055 SPRING ST, GRAFTON, WI 53024",TRUE
"1055 W MORNINGSIDE LN, OAK CREEK, WI 53154","1055 W MORNINGSIDE LN, OAK CREEK, WI 53154",TRUE
"10551 W GRANTOSA DR, WAUWATOSA, WI 53222-2206","10551 W GRANTOSA DR, MILWAUKEE, WI 53222",TRUE
"10560 S SINGING LARK CT, OAK CREEK, WI 53154","10560 S SINGING LARK CT, OAK CREEK, WI 53154",TRUE
"10560 S Singing Lark Ct, Oak Creek, WI 53154","10560 S SINGING LARK CT, OAK CREEK, WI 53154",TRUE
"10570 S SHANGRILA CT, OAK CREEK, WI 53154","10570 S SHANGRILA CT, OAK CREEK, WI 53154",TRUE
"10575 W FOREST HOME AVE, HALES CORNERS, WI 53130-2073","10575 W FOREST HOME AVE, HALES CORNERS, WI 53130",TRUE
"10575 W FOREST HOME AVENUE, PO BOX 301, HALES CORNERS, WI 53130","10575 W FOREST HOME AVE 301, HALES CORNERS, WI 53130",TRUE
"10604 S HOWELL AVE., OAK CREEK, WI 53154-6310","10604 S HOWELL AVE, OAK CREEK, WI 53154",TRUE
"10614 S HOWELL AVE, OAK CREEK, WI 53154-6310","10614 S HOWELL AVE, OAK CREEK, WI 53154",TRUE
"1062 N ENGLISH SETTLEMENT AVE, BURLINGTON, WI 53105-9724","1062 N ENGLISH SETTLEMENT AVE, BURLINGTON, WI 53105",FALSE
"1062 N. ENGLISH SETTLEMENT AVE., BURLINGTON, WI 53105","1062 N. ENGLISH SETTLEMENT AVE., BURLINGTON, WI 53105",FALSE
"1062 N.PERRY CT., WAUWATOSA, WI 53213","1062 N PERRY CT, MILWAUKEE, WI 53213",TRUE
"10625 W NORTH AVE STE LL4, WAUWATOSA, WI 53226","10625 W NORTH AVE, STE LL4, MILWAUKEE, WI 53226",TRUE
"10625 W NORTH AVE, STE 214, WAUWATOSA, WI 53226-2315","10625 W NORTH AVE, STE 214, MILWAUKEE, WI 53226",TRUE
"10625 W NORTH AVE, STE LL4, WAUWATOSA, WI 53226-2315","10625 W NORTH AVE, STE LL4, MILWAUKEE, WI 53226",TRUE
"10647 N HADDONSTONE PL, MEQUON, WI 53092-5954","10647 N HADDONSTONE PL, MEQUON, WI 53092",TRUE
"10647 N WOOD CREST DR, MEQUON, WI 53092-6417","10647 N WOOD CREST DR, MEQUON, WI 53092",TRUE
"10661 W GRANTOSA DR, WAUWATOSA, WI 53222","10661 W GRANTOSA DR, MILWAUKEE, WI 53222",TRUE
"10661 W GRANTOSA DR, WAUWATOSA, WI 53222-2208","10661 W GRANTOSA DR, MILWAUKEE, WI 53222",TRUE
"10700 W VENTURE DR, STE G1, FRANKLIN, WI 53132","10700 W VENTURE DR, STE G1, FRANKLIN, WI 53132",TRUE
"10700 W VENTURE DR, SUITE G1, FRANKLIN, WI 53132","10700 W VENTURE DR, STE G1, FRANKLIN, WI 53132",TRUE
"10711 W OKLAHOMA AVE, WEST ALLIS, WI 53227","10711 W OKLAHOMA AVE, MILWAUKEE, WI 53227",TRUE
"10711 W OKLAHOMA AVE, WEST ALLIS, WI 53227-4143","10711 W OKLAHOMA AVE, MILWAUKEE, WI 53227",TRUE
"10721 W CAPITOL DR, STE 105, WAUWATOSA, WI 53222-1210","10721 W CAPITOL DR, STE 105, MILWAUKEE, WI 53222",TRUE
"10733 N DE LA WARR CIR, MEQUON, WI 53092","10733 W DE LA WARR CIR, MEQUON, WI 53092",TRUE
"10733 N DE LA WARR CIR, MEQUON, WI 53092-5068","10733 W DE LA WARR CIR, MEQUON, WI 53092",TRUE
"10753 N RIVER VALLEY DR, MEQUON, WI 53092-4838","10753 N RIVER VALLEY DR, MEQUON, WI 53092",TRUE
"108 HILLCREST DR, MARION, WI 54950","108 HILLCREST DR, MARION, WI 54950",TRUE
"108 N 71ST ST, MILWAUKEE, WI 53213","108 N 71ST ST, MILWAUKEE, WI 53213",TRUE
"1080 MONTREAL AVE, ATTN: JOANNE SOLIS, SAINT PAUL, MN 55116-2694","1080 MONTREAL AVE, SAINT PAUL, MN 55116",TRUE
"10823 Hampton Mill Ter, Apt 110, North Bethesda, MD 20852-5482","10823 HAMPTON MILL TER, APT 110, ROCKVILLE, MD 20852",TRUE
"10847 W CORONADO CT, FRANKLIN, WI 53132-2145","10847 W CORONADO CT, FRANKLIN, WI 53132",TRUE
"109 MARSHALL ST, PEWAUKEE, WI 53072","109 MARSHALL ST, PEWAUKEE, WI 53072",TRUE
"10934 W CORONADO CT, FRANKLIN, WI 53132-2144","10934 W CORONADO CT, FRANKLIN, WI 53132",TRUE
"110 E GRAND AVE, PORT WASHINGTON, WI 53074-2215","110 E GRAND AVE, PORT WASHINGTON, WI 53074",TRUE
"1100 E BYWATER LN, FOX POINT, WI 53217-2838","1100 E BYWATER LN, MILWAUKEE, WI 53217",TRUE
"11000 BROKEN LAND PKWY, STE 700, COLUMBIA, MD 21044-3535","11000 BROKEN LAND PKWY, STE 700, COLUMBIA, MD 21044",TRUE
"11000 W. DAPHNE STREET, MILWAUKEE, WI 53224","11000 W DAPHNE ST, MILWAUKEE, WI 53224",TRUE
"11001 W MEINECKE AVE APT 2, WAUWATOSA, WI 53226","11001 W MEINECKE AVE, APT 2, MILWAUKEE, WI 53226",TRUE
"1101 N MARKET ST, STE 275, MILWAUKEE, WI 53202-3171","1101 N MARKET ST, STE 275, MILWAUKEE, WI 53202",TRUE
"1101 W 2ND ST, OCONOMOWOC, WI 53066-3401","1101 W 2ND ST, OCONOMOWOC, WI 53066",TRUE
"1101 W LAYTON AVE, MILWAUKEE, WI 53221","1101 W LAYTON AVE, MILWAUKEE, WI 53221",TRUE
"1101 W LAYTON, MILWAUKEE, WI 53221","1101 W LAYTON AVE, MILWAUKEE, WI 53221",TRUE
"1101 W MONTCLAIRE AVE, GLENDALE, WI 53217-4454","1101 W MONTCLAIRE AVE, MILWAUKEE, WI 53217",TRUE
"11014 W SANCTUARY DR, MILWAUKEE, WI 53224-5045","11014 W SANCTUARY DR, MILWAUKEE, WI 53224",TRUE
"11023 W COPELAND AVE, HALES CORNERS, WI 53130-1214","11023 W COPELAND AVE, HALES CORNERS, WI 53130",TRUE
"1103 EASTERN AVE., PLYMOUTH, WI 53073","1103 EASTERN AVE, PLYMOUTH, WI 53073",TRUE
"1105 ROLLING GREEN DR, WAUKESHA, WI 53186","1105 ROLLING GREEN DR, WAUKESHA, WI 53186",TRUE
"1105 ROLLING GREEN DR., WAUKESHA, WI 53186","1105 ROLLING GREEN DR, WAUKESHA, WI 53186",TRUE
"1108 56TH ST, KENOSHA, WI 53140-3669","1108 56TH ST, KENOSHA, WI 53140",TRUE
"1108 MAPLE ST, GRAFTON, WI 53024","1108 MAPLE ST, GRAFTON, WI 53024",TRUE
"1108 N SUNNYSLOPE DR, UNIT 202, RACINE, WI 53406-6387","1108 N SUNNYSLOPE DR, UNIT 202, MOUNT PLEASANT, WI 53406",TRUE
"1108 S. 7TH STREET, MILWAUKEE, WI 53204","1108 S 7TH ST, MILWAUKEE, WI 53204",TRUE
"111 E KILBOURN AVE, MILWAUKEE, WI 53202-6633","111 E KILBOURN AVE, MILWAUKEE, WI 53202",TRUE
"111 E WISCONSIN AVE STE 1800, MILWAUKEE, WI 53202","111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202",TRUE
"111 E WISCONSIN AVE SUITE 1800, MILWAUKEE, WI 53202","111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202",TRUE
"111 E WISCONSIN AVE, APT SUITE1800, MILWAUKEE, WI 53202-4815","111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202",TRUE
"111 E WISCONSIN AVE, MILWAUKEE, WI 53202","111 E WISCONSIN AVE, MILWAUKEE, WI 53202",TRUE
"111 E WISCONSIN AVE, STE 1400, MILWAUKEE, WI 53202-4807","111 E WISCONSIN AVE, STE 1400, MILWAUKEE, WI 53202",TRUE
"111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202","111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202",TRUE
"111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202-4809","111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202",TRUE
"111 E. WISCONSIN AVE, SUITE 1800, MILWAUKEE, WI 53202","111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202",TRUE
"111 E. WISCONSIN AVE., SUITE 1800, MILWAUKEE, WI 53202","111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202",TRUE
"111 E. WISCONSIN AVENUE, #1800, MILWAUKEE, WI 53202","111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202",TRUE
"111 EAST WISCONSIN AVENUE # 1400, STE 1400, MILWAUKEE, WI 53202","111 E WISCONSIN AVE, STE 1400, MILWAUKEE, WI 53202",TRUE
"111 EAST WISCONSIN AVENUE, SUITE # 1400, MILWAUKEE, WI 53202-4807","111 E WISCONSIN AVE, STE 1400, MILWAUKEE, WI 53202",TRUE
"111 EAST WISCONSIN AVENUE, SUITE 1800, MILWAUKEE, WI 53202","111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202",TRUE
"111 East Wisconsin Avenue, Suite 1800, Milwaukee, WI 53202","111 E WISCONSIN AVE, STE 1800, MILWAUKEE, WI 53202",TRUE
"1111 MILWAUKEE AVE, SOUTH MILWAUKEE, WI 53172-2012","1111 MILWAUKEE AVE, SOUTH MILWAUKEE, WI 53172",TRUE
"1111 W LAYTON AVE, MILWAUKEE, WI 53221","1111 W LAYTON AVE, MILWAUKEE, WI 53221",TRUE
"1111 W LAYTON AVE, MILWAUKEE, WI 53221-2431","1111 W LAYTON AVE, MILWAUKEE, WI 53221",TRUE
"11114 W MEADOW CREEK DR, MILWAUKEE, WI 53224","11114 W MEADOW CREEK DR, MILWAUKEE, WI 53224",FALSE
"11120 N Weston Dr., Second Floor, Mequon, WI 53092","11120 N WESTON DR., SECOND FLOOR, MEQUON, WI 53092",FALSE
"1113 HAWTHORNE PL APT H, PEWAUKEE, WI 53072","1113 HAWTHORNE PL, APT H, PEWAUKEE, WI 53072",TRUE
"11130 W FLORIST AVE, MILWAUKEE, WI 53225","11130 W FLORIST AVE, MILWAUKEE, WI 53225",TRUE
"11139 BECHER ST, WEST ALLIS, WI 53227","11139 W BECHER ST, MILWAUKEE, WI 53227",TRUE
"1115 DRAKE CT, MUKWONAGO, WI 53149-9545","1115 DRAKE CT, MUKWONAGO, WI 53149",TRUE
"112 E CAPITOL DR, STE 201, HARTLAND, WI 53029-2104","112 E CAPITOL DR, STE 201, HARTLAND, WI 53029",TRUE
"112 EAST CAPITOL DRIVE, STE 201, HARTLAND, WI 53029","112 E CAPITOL DR, STE 201, HARTLAND, WI 53029",TRUE
"1120 S 106TH ST, WEST ALLIS, WI 53214","1120 S 106TH ST, MILWAUKEE, WI 53214",TRUE
